<ngay>,<sl>,<gia>
20110510,100,2864.0
20110511,200,2872.6201171875
20110512,200,2831.570068359375
20110513,200,2797.429931640625
20110514,200,2797.429931640625
20110515,200,2797.429931640625
20110516,200,2792.6201171875
20110517,100,2755.31005859375
20110518,100,2772.949951171875
20110519,150,2786.840087890625
20110520,150,2767.77001953125
20110521,150,2767.77001953125
20110522,150,2767.77001953125
20110523,50,2705.510009765625
20110524,0,2724.89990234375
20110525,0,2720.889892578125
20110526,0,2719.419921875
20110527,0,2746.89990234375
20110528,0,2746.89990234375
20110529,0,2746.89990234375
