<ngay>,<sl>,<gia>
20101023,0,11132.5595703125
20101024,0,11132.5595703125
20101025,0,11132.5595703125
20101026,100,11164.0498046875
20101027,200,11169.4599609375
20101028,150,11126.2802734375
20101029,100,11113.9501953125
20101030,50,11118.490234375
20101031,50,11118.490234375
20101101,50,11118.490234375
20101102,150,11124.6201171875
20101103,250,11188.7197265625
20101104,350,11215.1298828125
20101105,450,11434.83984375
20101106,550,11444.080078125
20101107,550,11444.080078125
20101108,550,11444.080078125
20101109,500,11406.83984375
20101110,450,11346.75
20101111,400,11357.0400390625
