<ngay>,<sl>,<gia>
20110510,100,4052.510009765625
20110511,200,4058.080078125
20110512,150,4023.2900390625
20110513,100,4018.85009765625
20110514,100,4018.85009765625
20110515,100,4018.85009765625
20110516,100,3989.820068359375
20110517,100,3941.580078125
20110518,100,3978.0
20110519,200,4027.739990234375
20110520,250,3990.85009765625
20110521,250,3990.85009765625
20110522,250,3990.85009765625
20110523,250,3906.97998046875
20110524,250,3916.8798828125
20110525,300,3928.989990234375
20110526,350,3917.219970703125
20110527,400,3950.97998046875
20110528,400,3950.97998046875
20110529,400,3950.97998046875
