<ngay>,<sl>,<gia>
20110510,0,23184.3203125
20110511,50,23291.80078125
20110512,50,23073.759765625
20110513,50,23276.26953125
20110514,50,23276.26953125
20110515,50,23276.26953125
20110516,0,22960.630859375
20110517,0,22901.080078125
20110518,0,23011.140625
20110519,50,23163.380859375
20110520,100,23199.390625
20110521,100,23199.390625
20110522,100,23199.390625
20110523,0,22711.01953125
20110524,0,22730.779296875
20110525,0,22747.279296875
20110526,0,22900.7890625
20110527,50,23118.0703125
20110528,50,23118.0703125
20110529,50,23118.0703125
