<ngay>,<sl>,<gia>
20110510,0,2093.7900390625
20110511,100,2166.6298828125
20110512,200,2122.64990234375
20110513,200,2120.080078125
20110514,200,2120.080078125
20110515,200,2120.080078125
20110516,200,2104.179931640625
20110517,200,2102.409912109375
20110518,300,2135.780029296875
20110519,300,2095.510009765625
20110520,300,2111.5
20110521,300,2111.5
20110522,300,2111.5
20110523,300,2055.7099609375
20110524,300,2061.760009765625
20110525,300,2035.8699951171875
20110526,350,2091.909912109375
20110527,400,2100.239990234375
20110528,400,2100.239990234375
20110529,400,2100.239990234375
