<ngay>,<sl>,<gia>
20110510,50,103.9000015258789
20110511,50,99.01000213623047
20110512,50,98.80000305175781
20110513,100,99.3499984741211
20110514,100,99.3499984741211
20110515,100,98.5
20110516,100,96.94999694824219
20110517,100,97.77999877929688
20110518,150,100.4000015258789
20110519,200,99.43000030517578
20110520,200,99.94999694824219
20110521,200,99.94999694824219
20110522,250,99.9800033569336
20110523,250,96.94999694824219
20110524,250,99.1500015258789
20110525,300,101.1500015258789
20110526,350,100.19999694824219
20110527,350,100.58000183105469
20110528,350,100.58000183105469
20110529,400,100.66000366210938
