<ngay>,<sl>,<gia>
20110510,100,535.4000244140625
20110511,200,539.2000122070312
20110512,300,537.5999755859375
20110513,250,533.9000244140625
20110514,250,533.9000244140625
20110515,250,533.9000244140625
20110516,200,524.2000122070312
20110517,150,516.7000122070312
20110518,100,504.3999938964844
20110519,100,491.0
20110520,0,475.3999938964844
20110521,0,475.3999938964844
20110522,0,475.3999938964844
20110523,0,456.79998779296875
20110524,0,438.20001220703125
20110525,0,418.3999938964844
20110526,0,432.3999938964844
20110527,0,448.3999938964844
20110528,0,448.3999938964844
20110529,0,448.3999938964844
