<ngay>,<sl>,<gia>
501,100,14.619999885559082
502,200,15.119999885559082
503,300,15.460000038146973
504,400,15.289999961853027
505,350,15.289999961853027
506,300,15.119999885559082
507,250,15.119999885559082
508,200,14.279999732971191
509,150,14.699999809265137
510,250,14.699999809265137
511,250,14.699999809265137
512,200,14.279999732971191
513,150,14.279999732971191
514,250,14.789999961853027
515,350,15.119999885559082
516,450,14.869999885559082
517,400,14.789999961853027
518,350,14.789999961853027
519,450,15.119999885559082
520,450,14.789999961853027
