<ngay>,<sl>,<gia>
501,100,10.380000114440918
502,200,10.609999656677246
503,300,10.609999656677246
504,400,11.109999656677246
505,500,11.649999618530273
506,600,12.210000038146973
507,700,12.8100004196167
508,800,12.949999809265137
509,750,12.479999542236328
510,700,12.010000228881836
511,650,12.210000038146973
512,750,12.210000038146973
513,850,12.449999809265137
514,950,12.279999732971191
515,900,12.050000190734863
516,850,11.449999809265137
517,800,11.510000228881836
518,900,12.079999923706055
519,1000,12.680000305175781
520,1100,13.020000457763672
