<ngay>,<sl>,<gia>
20101023,0,7.0
20101024,0,7.0
20101025,0,7.0
20101026,0,7.079999923706055
20101027,0,7.320000171661377
20101028,0,6.920000076293945
20101029,0,6.760000228881836
20101030,0,6.840000152587891
20101031,0,6.840000152587891
20101101,0,6.840000152587891
20101102,0,6.760000228881836
20101103,0,6.610000133514404
20101104,0,6.610000133514404
20101105,0,6.369999885559082
20101106,0,6.690000057220459
20101107,0,6.690000057220459
20101108,0,6.690000057220459
20101109,0,6.690000057220459
20101110,0,6.449999809265137
20101111,0,6.449999809265137
