<ngay>,<sl>,<gia>
501,0,4.869999885559082
502,50,4.869999885559082
503,100,4.920000076293945
504,150,5.150000095367432
505,150,4.920000076293945
506,150,5.099999904632568
507,200,5.099999904632568
508,250,5.269999980926514
509,250,5.099999904632568
510,250,5.099999904632568
511,250,5.039999961853027
512,250,4.920000076293945
513,250,5.039999961853027
514,300,5.039999961853027
515,350,5.150000095367432
516,350,4.980000019073486
517,350,4.980000019073486
518,350,4.980000019073486
519,350,4.920000076293945
520,400,5.099999904632568
