<ngay>,<sl>,<gia>
501,100,41.20000076293945
502,200,39.560001373291016
503,300,41.689998626708984
504,400,42.099998474121094
505,350,40.869998931884766
506,450,42.66999816894531
507,550,45.040000915527344
508,650,47.900001525878906
509,750,46.7599983215332
510,700,47.81999969482422
511,650,46.59000015258789
512,750,48.22999954223633
513,850,48.31999969482422
514,800,46.93000030517578
515,750,45.970001220703125
516,700,44.75
517,650,44.31999969482422
518,750,45.189998626708984
519,850,45.619998931884766
520,850,45.189998626708984
