<ngay>,<sl>,<gia>
20101023,0,14.420000076293945
20101024,0,14.420000076293945
20101025,0,14.420000076293945
20101026,0,14.449999809265137
20101027,0,14.539999961853027
20101028,0,14.569999694824219
20101029,0,14.449999809265137
20101030,0,14.449999809265137
20101031,0,14.449999809265137
20101101,0,14.449999809265137
20101102,0,14.449999809265137
20101103,0,14.449999809265137
20101104,0,14.479999542236328
20101105,0,14.569999694824219
20101106,0,14.75
20101107,0,14.75
20101108,0,14.75
20101109,0,15.199999809265137
20101110,0,15.5
20101111,0,15.050000190734863
