<ngay>,<sl>,<gia>
501,0,8.0600004196167
502,100,8.279999732971191
503,200,8.210000038146973
504,150,8.210000038146973
505,100,8.130000114440918
506,50,8.0600004196167
507,150,8.279999732971191
508,50,7.829999923706055
509,0,7.980000019073486
510,0,7.980000019073486
511,100,8.359999656677246
512,200,8.279999732971191
513,150,8.279999732971191
514,150,8.279999732971191
515,150,8.279999732971191
516,150,8.279999732971191
517,150,8.279999732971191
518,150,8.279999732971191
519,250,8.8100004196167
520,350,9.039999961853027
