<ngay>,<sl>,<gia>
501,50,7.070000171661377
502,100,7.159999847412109
503,200,7.260000228881836
504,300,7.260000228881836
505,300,7.159999847412109
506,300,7.070000171661377
507,300,7.03000020980835
508,300,6.989999771118164
509,350,7.139999866485596
510,400,7.179999828338623
511,450,7.159999847412109
512,450,7.139999866485596
513,450,7.139999866485596
514,450,7.139999866485596
515,500,7.159999847412109
516,500,7.099999904632568
517,500,7.119999885559082
518,500,7.050000190734863
519,500,7.050000190734863
520,500,6.96999979019165
