<ngay>,<sl>,<gia>
501,100,9.819999694824219
502,200,9.699999809265137
503,150,9.640000343322754
504,100,9.640000343322754
505,100,9.640000343322754
506,100,9.640000343322754
507,200,9.760000228881836
508,200,9.640000343322754
509,300,9.819999694824219
510,400,10.420000076293945
511,500,11.130000114440918
512,450,10.359999656677246
513,400,11.069999694824219
514,500,11.3100004196167
515,450,10.529999732971191
516,400,10.420000076293945
517,350,9.9399995803833
518,450,10.59000015258789
519,400,9.880000114440918
520,350,9.819999694824219
