<ngay>,<sl>,<gia>
501,0,7.550000190734863
502,0,8.079999923706055
503,0,8.529999732971191
504,0,9.0600004196167
505,100,9.59000015258789
506,200,10.1899995803833
507,150,9.4399995803833
508,250,10.569999694824219
509,350,10.1899995803833
510,300,9.819999694824219
511,250,9.4399995803833
512,200,9.4399995803833
513,300,9.819999694824219
514,400,10.039999961853027
515,500,9.970000267028809
516,600,10.5
517,700,11.100000381469727
518,800,11.779999732971191
519,900,12.079999923706055
520,1000,12.380000114440918
