<ngay>,<sl>,<gia>
20110510,0,15.289999961853027
20110511,100,15.710000038146973
20110512,200,15.800000190734863
20110513,200,15.619999885559082
20110514,200,15.619999885559082
20110515,200,15.619999885559082
20110516,100,15.430000305175781
20110517,0,15.390000343322754
20110518,0,15.109999656677246
20110519,0,14.380000114440918
20110520,0,13.6899995803833
20110521,0,13.6899995803833
20110522,0,13.6899995803833
20110523,0,13.59000015258789
20110524,0,12.949999809265137
20110525,0,12.3100004196167
20110526,0,12.90999984741211
20110527,0,12.859999656677246
20110528,0,12.859999656677246
20110529,0,12.859999656677246
