<ngay>,<sl>,<gia>
20101023,0,10.670000076293945
20101024,0,10.670000076293945
20101025,0,10.670000076293945
20101026,0,11.180000305175781
20101027,0,11.680000305175781
20101028,0,11.520000457763672
20101029,0,11.399999618530273
20101030,0,11.630000114440918
20101031,0,11.630000114440918
20101101,0,11.630000114440918
20101102,0,11.350000381469727
20101103,0,10.949999809265137
20101104,0,10.670000076293945
20101105,0,11.010000228881836
20101106,0,11.520000457763672
20101107,0,11.520000457763672
20101108,0,11.520000457763672
20101109,0,11.180000305175781
20101110,0,10.84000015258789
20101111,0,10.789999961853027
