<ngay>,<sl>,<gia>
20101023,0,15.8100004196167
20101024,0,15.8100004196167
20101025,0,15.8100004196167
20101026,100,16.100000381469727
20101027,200,16.43000030517578
20101028,150,15.949999809265137
20101029,150,16.43000030517578
20101030,250,16.81999969482422
20101031,250,16.81999969482422
20101101,250,16.81999969482422
20101102,350,17.059999465942383
20101103,450,17.15999984741211
20101104,550,17.15999984741211
20101105,650,17.5
20101106,750,17.790000915527344
20101107,750,17.790000915527344
20101108,750,17.790000915527344
20101109,700,17.15999984741211
20101110,650,16.530000686645508
20101111,600,16.920000076293945
