<ngay>,<sl>,<gia>
20101023,0,8.100000381469727
20101024,0,8.100000381469727
20101025,0,8.100000381469727
20101026,0,8.239999771118164
20101027,0,8.640000343322754
20101028,0,8.270000457763672
20101029,0,8.3100004196167
20101030,0,8.270000457763672
20101031,0,8.270000457763672
20101101,0,8.270000457763672
20101102,0,8.140000343322754
20101103,0,7.769999980926514
20101104,0,7.53000020980835
20101105,0,7.630000114440918
20101106,0,8.0
20101107,0,8.0
20101108,0,8.0
20101109,0,8.0
20101110,0,7.769999980926514
20101111,0,7.829999923706055
