<ngay>,<sl>,<gia>
20101023,0,22.049999237060547
20101024,0,22.049999237060547
20101025,0,22.049999237060547
20101026,0,22.049999237060547
20101027,50,22.690000534057617
20101028,150,23.010000228881836
20101029,250,23.31999969482422
20101030,350,24.270000457763672
20101031,350,24.270000457763672
20101101,350,24.270000457763672
20101102,450,23.639999389648438
20101103,400,23.15999984741211
20101104,350,23.15999984741211
20101105,450,23.31999969482422
20101106,550,24.1200008392334
20101107,550,24.1200008392334
20101108,550,24.1200008392334
20101109,500,23.010000228881836
20101110,450,23.15999984741211
20101111,550,23.479999542236328
