<ngay>,<sl>,<gia>
20110510,0,29.1299991607666
20110511,0,29.34000015258789
20110512,0,28.989999771118164
20110513,0,29.059999465942383
20110514,0,29.059999465942383
20110515,0,29.059999465942383
20110516,0,28.09000015258789
20110517,0,26.709999084472656
20110518,0,25.399999618530273
20110519,0,24.15999984741211
20110520,0,23.809999465942383
20110521,0,23.809999465942383
20110522,0,23.809999465942383
20110523,0,22.639999389648438
20110524,0,21.540000915527344
20110525,0,20.5
20110526,0,21.469999313354492
20110527,0,22.5
20110528,0,22.5
20110529,0,22.5
