<ngay>,<sl>,<gia>
20101023,100,7.150000095367432
20101024,100,7.150000095367432
20101025,100,7.150000095367432
20101026,200,7.289999961853027
20101027,300,7.380000114440918
20101028,250,7.269999980926514
20101029,200,7.25
20101030,300,7.320000171661377
20101031,300,7.320000171661377
20101101,300,7.320000171661377
20101102,400,7.46999979019165
20101103,500,7.400000095367432
20101104,450,7.380000114440918
20101105,550,7.480000019073486
20101106,650,7.679999828338623
20101107,650,7.679999828338623
20101108,650,7.679999828338623
20101109,750,7.5
20101110,700,7.400000095367432
20101111,650,7.190000057220459
