<ngay>,<sl>,<gia>
20110510,0,5.159999847412109
20110511,0,5.090000152587891
20110512,0,4.860000133514404
20110513,0,5.010000228881836
20110514,0,5.010000228881836
20110515,0,5.010000228881836
20110516,0,5.010000228881836
20110517,0,4.940000057220459
20110518,0,4.860000133514404
20110519,0,4.860000133514404
20110520,0,4.710000038146973
20110521,0,4.710000038146973
20110522,0,4.710000038146973
20110523,0,4.489999771118164
20110524,0,4.269999980926514
20110525,0,4.119999885559082
20110526,0,4.269999980926514
20110527,0,4.420000076293945
20110528,0,4.420000076293945
20110529,0,4.420000076293945
