<ngay>,<sl>,<gia>
20110510,0,15.039999961853027
20110511,0,14.800000190734863
20110512,0,14.800000190734863
20110513,0,14.75
20110514,0,14.75
20110515,0,14.75
20110516,0,14.399999618530273
20110517,0,14.220000267028809
20110518,0,13.520000457763672
20110519,0,12.880000114440918
20110520,0,12.5
20110521,0,12.5
20110522,0,12.5
20110523,0,11.920000076293945
20110524,0,11.350000381469727
20110525,0,10.84000015258789
20110526,0,11.350000381469727
20110527,0,11.859999656677246
20110528,0,11.859999656677246
20110529,0,11.859999656677246
