<ngay>,<sl>,<gia>
20101023,0,4.800000190734863
20101024,0,4.800000190734863
20101025,0,4.800000190734863
20101026,0,4.800000190734863
20101027,0,5.0
20101028,0,5.0
20101029,0,4.860000133514404
20101030,0,4.800000190734863
20101031,0,4.800000190734863
20101101,0,4.800000190734863
20101102,0,4.800000190734863
20101103,0,4.599999904632568
20101104,0,4.599999904632568
20101105,0,4.670000076293945
20101106,0,4.599999904632568
20101107,0,4.599999904632568
20101108,0,4.599999904632568
20101109,0,4.599999904632568
20101110,0,4.400000095367432
20101111,0,4.210000038146973
