<ngay>,<sl>,<gia>
20101023,0,20.440000534057617
20101024,0,20.440000534057617
20101025,0,20.440000534057617
20101026,0,21.459999084472656
20101027,0,22.1299991607666
20101028,0,21.459999084472656
20101029,0,21.790000915527344
20101030,0,22.299999237060547
20101031,0,22.299999237060547
20101101,0,22.299999237060547
20101102,0,21.790000915527344
20101103,0,21.790000915527344
20101104,0,21.290000915527344
20101105,0,21.6299991607666
20101106,0,22.1299991607666
20101107,0,22.1299991607666
20101108,0,22.1299991607666
20101109,0,22.1299991607666
20101110,0,21.6299991607666
20101111,0,21.6299991607666
