<ngay>,<sl>,<gia>
20110510,0,6.639999866485596
20110511,0,6.550000190734863
20110512,0,6.449999809265137
20110513,0,6.550000190734863
20110514,0,6.550000190734863
20110515,0,6.550000190734863
20110516,0,6.550000190734863
20110517,0,6.449999809265137
20110518,0,6.289999961853027
20110519,0,6.239999771118164
20110520,0,6.130000114440918
20110521,0,6.130000114440918
20110522,0,6.130000114440918
20110523,0,5.909999847412109
20110524,0,5.650000095367432
20110525,0,5.380000114440918
20110526,0,5.650000095367432
20110527,0,5.909999847412109
20110528,0,5.909999847412109
20110529,0,5.909999847412109
