<ngay>,<sl>,<gia>
20110510,0,7.489999771118164
20110511,0,7.190000057220459
20110512,0,7.150000095367432
20110513,0,7.360000133514404
20110514,0,7.360000133514404
20110515,0,7.360000133514404
20110516,0,7.230000019073486
20110517,0,7.010000228881836
20110518,0,7.099999904632568
20110519,0,7.059999942779541
20110520,0,7.010000228881836
20110521,0,7.010000228881836
20110522,0,7.010000228881836
20110523,0,6.539999961853027
20110524,0,6.230000019073486
20110525,0,5.880000114440918
20110526,0,6.320000171661377
20110527,0,6.400000095367432
20110528,0,6.400000095367432
20110529,0,6.400000095367432
