<ngay>,<sl>,<gia>
20110510,0,5.760000228881836
20110511,0,5.699999809265137
20110512,0,5.699999809265137
20110513,0,5.699999809265137
20110514,0,5.699999809265137
20110515,0,5.699999809265137
20110516,0,5.639999866485596
20110517,0,5.570000171661377
20110518,0,5.639999866485596
20110519,0,5.510000228881836
20110520,0,5.380000114440918
20110521,0,5.380000114440918
20110522,0,5.380000114440918
20110523,0,5.119999885559082
20110524,0,4.869999885559082
20110525,0,4.679999828338623
20110526,0,4.679999828338623
20110527,0,4.739999771118164
20110528,0,4.739999771118164
20110529,0,4.739999771118164
