<ngay>,<sl>,<gia>
20110510,100,30.8700008392334
20110511,200,30.280000686645508
20110512,150,29.989999771118164
20110513,100,29.989999771118164
20110514,100,29.989999771118164
20110515,100,29.989999771118164
20110516,100,29.399999618530273
20110517,100,29.700000762939453
20110518,200,30.280000686645508
20110519,300,30.280000686645508
20110520,300,29.399999618530273
20110521,300,29.399999618530273
20110522,300,29.399999618530273
20110523,300,28.809999465942383
20110524,200,28.229999542236328
20110525,100,26.809999465942383
20110526,0,27.049999237060547
20110527,0,27.639999389648438
20110528,0,27.639999389648438
20110529,0,27.639999389648438
