<ngay>,<sl>,<gia>
20110510,100,20.239999771118164
20110511,200,20.139999389648438
20110512,150,20.139999389648438
20110513,250,20.8799991607666
20110514,250,20.8799991607666
20110515,250,20.8799991607666
20110516,350,21.059999465942383
20110517,450,21.520000457763672
20110518,550,22.06999969482422
20110519,650,22.06999969482422
20110520,600,20.969999313354492
20110521,600,20.969999313354492
20110522,600,20.969999313354492
20110523,550,19.959999084472656
20110524,550,19.040000915527344
20110525,450,18.1200008392334
20110526,450,18.950000762939453
20110527,550,19.8700008392334
20110528,550,19.8700008392334
20110529,550,19.8700008392334
