<ngay>,<sl>,<gia>
20110510,0,4.599999904632568
20110511,0,4.53000020980835
20110512,0,4.380000114440918
20110513,0,4.309999942779541
20110514,0,4.309999942779541
20110515,0,4.309999942779541
20110516,0,4.309999942779541
20110517,0,4.159999847412109
20110518,0,4.159999847412109
20110519,0,4.019999980926514
20110520,0,3.869999885559082
20110521,0,3.869999885559082
20110522,0,3.869999885559082
20110523,0,3.7300000190734863
20110524,0,3.5799999237060547
20110525,0,3.430000066757202
20110526,0,3.5799999237060547
20110527,0,3.7300000190734863
20110528,0,3.7300000190734863
20110529,0,3.7300000190734863
