<ngay>,<sl>,<gia>
20110510,0,8.520000457763672
20110511,0,8.65999984741211
20110512,0,8.59000015258789
20110513,0,8.449999809265137
20110514,0,8.449999809265137
20110515,0,8.449999809265137
20110516,0,8.3100004196167
20110517,0,7.730000019073486
20110518,0,7.519999980926514
20110519,0,7.369999885559082
20110520,0,7.090000152587891
20110521,0,7.090000152587891
20110522,0,7.090000152587891
20110523,0,6.659999847412109
20110524,0,6.300000190734863
20110525,0,5.869999885559082
20110526,0,6.230000019073486
20110527,0,6.230000019073486
20110528,0,6.230000019073486
20110529,0,6.230000019073486
