<ngay>,<sl>,<gia>
20101023,100,5.019999980926514
20101024,100,5.019999980926514
20101025,100,5.019999980926514
20101026,100,5.019999980926514
20101027,100,5.019999980926514
20101028,200,5.099999904632568
20101029,300,5.099999904632568
20101030,400,5.230000019073486
20101031,400,5.230000019073486
20101101,400,5.230000019073486
20101102,500,5.320000171661377
20101103,600,5.269999980926514
20101104,550,5.230000019073486
20101105,650,5.360000133514404
20101106,750,5.489999771118164
20101107,750,5.489999771118164
20101108,750,5.489999771118164
20101109,850,5.489999771118164
20101110,800,5.230000019073486
20101111,750,5.320000171661377
