<ngay>,<sl>,<gia>
20110510,0,7.119999885559082
20110511,0,6.900000095367432
20110512,0,6.789999961853027
20110513,0,6.739999771118164
20110514,0,6.739999771118164
20110515,0,6.739999771118164
20110516,0,6.309999942779541
20110517,0,6.199999809265137
20110518,0,5.880000114440918
20110519,0,5.710000038146973
20110520,0,5.659999847412109
20110521,0,5.659999847412109
20110522,0,5.659999847412109
20110523,0,5.340000152587891
20110524,0,5.010000228881836
20110525,0,4.739999771118164
20110526,0,5.010000228881836
20110527,0,5.010000228881836
20110528,0,5.010000228881836
20110529,0,5.010000228881836
