<ngay>,<sl>,<gia>
20101023,0,14.180000305175781
20101024,0,14.180000305175781
20101025,0,14.180000305175781
20101026,0,14.239999771118164
20101027,0,14.770000457763672
20101028,0,14.479999542236328
20101029,0,14.420000076293945
20101030,0,14.479999542236328
20101031,0,14.479999542236328
20101101,0,14.479999542236328
20101102,0,14.359999656677246
20101103,0,14.069999694824219
20101104,0,13.770000457763672
20101105,0,13.949999809265137
20101106,0,14.479999542236328
20101107,0,14.479999542236328
20101108,0,14.479999542236328
20101109,0,14.649999618530273
20101110,0,14.239999771118164
20101111,0,14.130000114440918
