<ngay>,<sl>,<gia>
20101023,0,9.149999618530273
20101024,0,9.149999618530273
20101025,0,9.149999618530273
20101026,100,9.579999923706055
20101027,200,9.800000190734863
20101028,300,9.800000190734863
20101029,400,10.069999694824219
20101030,500,10.34000015258789
20101031,500,10.34000015258789
20101101,500,10.34000015258789
20101102,600,10.34000015258789
20101103,550,10.180000305175781
20101104,500,9.90999984741211
20101105,450,10.069999694824219
20101106,550,10.34000015258789
20101107,550,10.34000015258789
20101108,550,10.34000015258789
20101109,650,10.34000015258789
20101110,600,10.069999694824219
20101111,550,10.130000114440918
