<ngay>,<sl>,<gia>
20110510,0,4.630000114440918
20110511,0,4.599999904632568
20110512,0,4.53000020980835
20110513,0,4.489999771118164
20110514,0,4.489999771118164
20110515,0,4.489999771118164
20110516,0,4.420000076293945
20110517,0,4.28000020980835
20110518,0,4.28000020980835
20110519,0,4.239999771118164
20110520,0,4.170000076293945
20110521,0,4.170000076293945
20110522,0,4.170000076293945
20110523,0,3.890000104904175
20110524,0,3.6700000762939453
20110525,0,3.4600000381469727
20110526,0,3.569999933242798
20110527,0,3.5999999046325684
20110528,0,3.5999999046325684
20110529,0,3.5999999046325684
