<ngay>,<sl>,<gia>
20101023,0,5.5
20101024,0,5.5
20101025,0,5.5
20101026,0,5.5
20101027,0,5.599999904632568
20101028,0,5.400000095367432
20101029,0,5.300000190734863
20101030,0,5.300000190734863
20101031,0,5.300000190734863
20101101,0,5.300000190734863
20101102,0,5.400000095367432
20101103,0,5.300000190734863
20101104,0,5.300000190734863
20101105,0,5.400000095367432
20101106,0,5.599999904632568
20101107,0,5.599999904632568
20101108,0,5.599999904632568
20101109,0,5.5
20101110,0,5.400000095367432
20101111,0,5.300000190734863
