<ngay>,<sl>,<gia>
20110510,0,5.559999942779541
20110511,0,5.559999942779541
20110512,0,5.5
20110513,0,5.360000133514404
20110514,0,5.360000133514404
20110515,0,5.360000133514404
20110516,0,5.21999979019165
20110517,0,4.940000057220459
20110518,0,4.869999885559082
20110519,0,4.730000019073486
20110520,0,4.659999847412109
20110521,0,4.659999847412109
20110522,0,4.659999847412109
20110523,0,4.380000114440918
20110524,0,4.099999904632568
20110525,0,3.8299999237060547
20110526,0,4.03000020980835
20110527,0,3.9600000381469727
20110528,0,3.9600000381469727
20110529,0,3.9600000381469727
