<ngay>,<sl>,<gia>
20101023,0,29.0
20101024,0,29.0
20101025,0,29.0
20101026,0,29.670000076293945
20101027,0,31.1200008392334
20101028,0,31.200000762939453
20101029,0,31.1200008392334
20101030,0,31.030000686645508
20101031,0,31.030000686645508
20101101,0,31.030000686645508
20101102,0,30.440000534057617
20101103,0,29.670000076293945
20101104,0,29.079999923706055
20101105,0,29.59000015258789
20101106,0,30.440000534057617
20101107,0,30.440000534057617
20101108,0,30.440000534057617
20101109,0,29.5
20101110,0,28.31999969482422
20101111,0,28.229999542236328
