<ngay>,<sl>,<gia>
20110510,100,22.860000610351562
20110511,200,23.90999984741211
20110512,300,23.90999984741211
20110513,250,23.489999771118164
20110514,250,23.489999771118164
20110515,250,23.489999771118164
20110516,200,23.06999969482422
20110517,300,23.700000762939453
20110518,400,23.90999984741211
20110519,400,23.700000762939453
20110520,350,22.649999618530273
20110521,350,22.649999618530273
20110522,350,22.649999618530273
20110523,350,21.600000381469727
20110524,350,20.559999465942383
20110525,350,19.610000610351562
20110526,350,20.559999465942383
20110527,400,21.399999618530273
20110528,400,21.399999618530273
20110529,400,21.399999618530273
