<ngay>,<sl>,<gia>
20110331,100,3989.179931640625
20110401,200,4054.760009765625
20110402,200,4054.760009765625
20110403,200,4054.760009765625
20110404,300,4042.919921875
20110405,250,4041.739990234375
20110406,350,4048.159912109375
20110407,300,4028.300048828125
20110408,400,4061.909912109375
20110409,400,4061.909912109375
20110410,400,4061.909912109375
20110411,500,4038.699951171875
20110412,500,3976.60009765625
20110413,450,4006.22998046875
20110414,450,3970.389892578125
20110415,450,3974.47998046875
20110416,450,3974.47998046875
20110417,450,3974.47998046875
20110418,450,3881.239990234375
20110419,450,3908.580078125
20110420,100,4004.6201171875
20110421,200,4021.8798828125
20110422,200,4021.8798828125
20110423,200,4021.8798828125
20110424,200,4021.8798828125
20110425,200,4021.8798828125
20110426,300,4045.2900390625
20110427,400,4067.719970703125
20110428,500,4104.89990234375
20110429,600,4106.919921875
20110430,600,4106.919921875
20110501,600,4106.919921875
20110502,700,4108.77001953125
20110503,650,4096.83984375
20110504,600,4043.1298828125
20110505,600,4004.8701171875
20110506,700,4058.010009765625
20110507,700,4058.010009765625
20110508,700,4058.010009765625
20110509,750,4007.260009765625
