<ngay>,<sl>,<gia>
20101221,100,90.04000091552734
20101222,200,90.52999877929688
20101223,300,91.4800033569336
20101224,300,91.4800033569336
20101225,300,91.4800033569336
20101226,400,90.80000305175781
20101227,350,90.94999694824219
20101228,450,91.19999694824219
20101229,550,91.12999725341797
20101230,500,89.6500015258789
20101231,450,90.80999755859375
20110101,450,90.80999755859375
20110102,550,91.27999877929688
20110103,650,91.55999755859375
20110104,600,89.38999938964844
20110105,550,90.58000183105469
20110106,550,88.19999694824219
20110107,550,88.44000244140625
20110108,550,88.44000244140625
20110109,650,89.4800033569336
20110110,100,89.5
20110111,200,91.18000030517578
20110112,300,92.05000305175781
20110113,250,91.05000305175781
20110114,200,91.66000366210938
20110115,200,91.66000366210938
20110116,300,91.45999908447266
20110117,250,91.0
20110118,350,92.08000183105469
20110119,450,91.52999877929688
20110120,450,89.48999786376953
20110121,450,89.20999908447266
20110122,450,89.20999908447266
20110123,450,89.13999938964844
20110124,450,87.61000061035156
20110125,450,86.19000244140625
20110126,450,87.52999877929688
20110127,450,85.20999908447266
20110128,550,89.37999725341797
20110129,550,89.37999725341797
20110219,0,89.8499984741211
20110220,100,91.05999755859375
20110221,200,97.4800033569336
20110222,300,95.43000030517578
20110223,400,99.11000061035156
20110224,500,97.55000305175781
20110225,450,98.16000366210938
20110226,450,98.16000366210938
20110227,550,99.5
20110228,500,96.8499984741211
20110301,600,100.25
20110302,700,102.69999694824219
20110303,800,101.75
20110304,900,104.70999908447266
20110305,900,104.70999908447266
20110306,1000,105.16000366210938
20110307,1100,104.95999908447266
20110308,1050,104.79000091552734
20110309,1000,104.51000213623047
20110310,950,102.58000183105469
