<ngay>,<sl>,<gia>
20101221,0,488.6000061035156
20101222,100,490.29998779296875
20101223,50,483.3999938964844
20101224,0,480.1000061035156
20101225,0,480.1000061035156
20101226,0,480.1000061035156
20101227,0,479.79998779296875
20101228,100,486.20001220703125
20101229,200,488.29998779296875
20101230,300,491.70001220703125
20101231,400,495.29998779296875
20110101,400,495.29998779296875
20110102,400,495.29998779296875
20110103,400,495.29998779296875
20110104,500,497.8999938964844
20110105,450,494.79998779296875
20110106,400,496.1000061035156
20110107,500,495.29998779296875
20110108,500,495.29998779296875
20110109,500,495.29998779296875
20110110,0,495.6000061035156
20110111,0,493.70001220703125
20110112,0,494.1000061035156
20110113,100,499.3999938964844
20110114,200,504.79998779296875
20110115,200,504.79998779296875
20110116,200,504.79998779296875
20110117,300,512.0
20110118,400,516.2999877929688
20110119,500,528.0999755859375
20110120,600,538.2000122070312
20110121,700,549.2999877929688
20110122,700,549.2999877929688
20110123,700,549.2999877929688
20110124,650,537.9000244140625
20110125,600,527.7999877929688
20110126,550,524.5
20110127,500,524.5999755859375
20110128,600,534.5
20110129,600,534.5
20110219,0,534.9000244140625
20110220,0,534.9000244140625
20110221,0,512.0999755859375
20110222,0,495.20001220703125
20110223,0,494.3999938964844
20110224,0,482.6000061035156
20110225,0,489.8999938964844
20110226,0,489.8999938964844
20110227,0,489.8999938964844
20110228,50,483.1000061035156
20110301,100,491.0
20110302,150,484.29998779296875
20110303,150,479.1000061035156
20110304,200,488.29998779296875
20110305,200,488.29998779296875
20110306,200,488.29998779296875
20110307,250,500.20001220703125
20110308,350,510.3999938964844
20110309,400,505.1000061035156
20110310,500,517.0
