<ngay>,<sl>,<gia>
20101201,0,10.130000114440918
20101202,0,10.569999694824219
20101203,100,11.069999694824219
20101204,100,11.069999694824219
20101205,100,11.069999694824219
20101206,200,10.829999923706055
20101207,150,10.6899995803833
20101208,50,10.220000267028809
20101209,50,10.479999542236328
20101210,150,11.020000457763672
20101211,150,11.020000457763672
20101212,150,11.020000457763672
20101213,250,11.1899995803833
20101214,200,10.600000381469727
20101215,100,10.380000114440918
20101216,0,10.130000114440918
20101217,0,10.359999656677246
20101218,0,10.359999656677246
20101219,0,10.359999656677246
20101220,0,10.170000076293945
20110130,0,10.479999542236328
20110131,0,10.479999542236328
20110201,0,10.479999542236328
20110202,0,10.479999542236328
20110203,0,10.479999542236328
20110204,0,10.479999542236328
20110205,0,10.479999542236328
20110206,0,10.479999542236328
20110207,0,10.479999542236328
20110208,100,10.600000381469727
20110209,100,10.510000228881836
20110210,100,10.569999694824219
20110211,100,10.569999694824219
20110212,100,10.569999694824219
20110213,100,10.569999694824219
20110214,100,10.460000038146973
20110215,0,10.3100004196167
20110216,0,10.170000076293945
20110217,0,10.170000076293945
20110218,0,10.140000343322754
20110510,0,7.829999923706055
20110511,0,8.029999732971191
20110512,0,7.909999847412109
20110513,0,8.140000343322754
20110514,0,8.140000343322754
20110515,0,8.140000343322754
20110516,0,7.909999847412109
20110517,0,7.909999847412109
20110518,0,7.909999847412109
20110519,0,7.909999847412109
20110520,0,7.909999847412109
20110521,0,7.909999847412109
20110522,0,7.909999847412109
20110523,0,7.400000095367432
20110524,0,6.889999866485596
20110525,0,6.409999847412109
20110526,0,6.409999847412109
20110527,0,6.5
20110528,0,6.5
20110529,0,6.5
