<ngay>,<sl>,<gia>
20110130,0,7.880000114440918
20110131,0,7.880000114440918
20110201,0,7.880000114440918
20110202,0,7.880000114440918
20110203,0,7.880000114440918
20110204,0,7.880000114440918
20110205,0,7.880000114440918
20110206,0,7.880000114440918
20110207,0,7.880000114440918
20110208,0,8.010000228881836
20110209,0,7.809999942779541
20110210,0,7.809999942779541
20110211,0,7.809999942779541
20110212,0,7.809999942779541
20110213,0,7.809999942779541
20110214,0,7.940000057220459
20110215,0,7.809999942779541
20110216,0,7.690000057220459
20110217,0,7.75
20110218,0,7.75
