<ngay>,<sl>,<gia>
20101221,0,60.65999984741211
20101222,0,60.65999984741211
20101223,0,59.68000030517578
20101224,0,58.70000076293945
20101225,0,58.70000076293945
20101226,0,58.70000076293945
20101227,0,59.189998626708984
20101228,0,59.68000030517578
20101229,0,59.68000030517578
20101230,0,59.68000030517578
20101231,0,60.16999816894531
20110101,0,60.16999816894531
20110102,0,60.16999816894531
20110103,0,60.16999816894531
20110104,0,60.65999984741211
20110105,0,60.16999816894531
20110106,0,59.68000030517578
20110107,0,59.189998626708984
20110108,0,59.189998626708984
20110109,0,59.189998626708984
20110110,0,59.68000030517578
20110111,0,58.209999084472656
20110112,0,58.209999084472656
20110113,0,59.68000030517578
20110114,0,60.16999816894531
20110115,0,60.16999816894531
20110116,0,60.16999816894531
20110117,0,60.65999984741211
20110118,0,59.189998626708984
20110119,0,60.16999816894531
20110120,0,59.68000030517578
20110121,0,62.619998931884766
20110122,0,62.619998931884766
20110123,0,62.619998931884766
20110124,0,62.619998931884766
20110125,0,62.619998931884766
20110126,0,63.11000061035156
20110127,0,64.08000183105469
20110128,0,65.55000305175781
20110129,0,65.55000305175781
20110219,0,60.65999984741211
20110220,0,60.65999984741211
20110221,0,57.720001220703125
20110222,0,55.279998779296875
20110223,0,52.83000183105469
20110224,0,51.36000061035156
20110225,0,51.849998474121094
20110226,0,51.849998474121094
20110227,0,51.849998474121094
20110228,0,49.900001525878906
20110301,0,50.880001068115234
20110302,0,48.33000183105469
20110303,0,47.7400016784668
20110304,0,47.54999923706055
20110305,0,47.54999923706055
20110306,0,47.54999923706055
20110307,0,48.81999969482422
20110308,0,48.720001220703125
20110309,0,46.470001220703125
20110310,0,48.720001220703125
20110530,0,29.549999237060547
20110531,0,31.010000228881836
20110601,0,32.47999954223633
20110602,0,34.04999923706055
20110603,0,33.65999984741211
20110604,0,33.65999984741211
20110605,0,33.65999984741211
20110606,0,33.16999816894531
20110607,0,34.72999954223633
20110608,0,34.150001525878906
20110609,0,33.65999984741211
20110610,0,33.849998474121094
20110611,0,33.849998474121094
20110612,0,33.849998474121094
20110613,0,33.560001373291016
20110614,0,32.869998931884766
20110615,0,31.309999465942383
20110616,0,32.869998931884766
20110617,0,31.309999465942383
20110618,0,31.309999465942383
