<ngay>,<sl>,<gia>
20101201,0,9.5
20101202,0,10.100000381469727
20101203,0,10.699999809265137
20101204,0,10.699999809265137
20101205,0,10.699999809265137
20101206,0,11.399999618530273
20101207,0,11.600000381469727
20101208,0,11.0
20101209,0,11.199999809265137
20101210,0,11.600000381469727
20101211,0,11.600000381469727
20101212,0,11.600000381469727
20101213,0,11.899999618530273
20101214,0,11.100000381469727
20101215,0,10.699999809265137
20101216,0,10.100000381469727
20101217,0,10.800000190734863
20101218,0,10.800000190734863
20101219,0,10.800000190734863
20101220,0,10.399999618530273
