<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^FCHI,20170512,5386.79,5405.42,5375.48,5405.42,158409000,5386.79,5405.42,5375.48,5405.42,0,0,0
^FCHI,20170511,5409.90,5409.99,5356.41,5383.42,124960400,5409.90,5409.99,5356.41,5383.42,0,0,0
^FCHI,20170510,5398.81,5402.34,5377.75,5400.46,100058200,5398.81,5402.34,5377.75,5400.46,0,0,0
^FCHI,20170509,5404.14,5413.60,5394.13,5398.01,103174700,5404.14,5413.60,5394.13,5398.01,0,0,0
^FCHI,20170508,5442.10,5442.10,5374.20,5382.95,116136600,5442.10,5442.10,5374.20,5382.95,0,0,0
^FCHI,20170505,5344.92,5432.40,5343.02,5432.40,138533800,5344.92,5432.40,5343.02,5432.40,0,0,0
^FCHI,20170504,5309.39,5372.42,5304.46,5372.42,152534000,5309.39,5372.42,5304.46,5372.42,0,0,0
^FCHI,20170503,5299.74,5301.61,5282.45,5301.00,97848100,5299.74,5301.61,5282.45,5301.00,0,0,0
^FCHI,20170502,5284.88,5305.95,5274.29,5304.15,104617800,5284.88,5305.95,5274.29,5304.15,0,0,0
^FCHI,20170428,5267.66,5287.85,5265.36,5267.33,122645300,5267.66,5287.85,5265.36,5267.33,0,0,0
^FCHI,20170427,5276.97,5278.96,5261.73,5271.70,113942900,5276.97,5278.96,5261.73,5271.70,0,0,0
^FCHI,20170426,5272.86,5296.52,5270.32,5287.88,120017900,5272.86,5296.52,5270.32,5287.88,0,0,0
^FCHI,20170425,5274.36,5293.39,5259.63,5277.88,115584900,5274.36,5293.39,5259.63,5277.88,0,0,0
^FCHI,20170424,5267.88,5295.47,5228.54,5268.85,228792800,5267.88,5295.47,5228.54,5268.85,0,0,0
^FCHI,20170421,5063.36,5081.61,5029.06,5059.20,165386200,5063.36,5081.61,5029.06,5059.20,0,0,0
^FCHI,20170420,4992.47,5093.60,4989.26,5077.91,134681300,4992.47,5093.60,4989.26,5077.91,0,0,0
^FCHI,20170419,4987.29,5011.33,4980.41,5003.73,112517100,4987.29,5011.33,4980.41,5003.73,0,0,0
^FCHI,20170418,5078.25,5080.03,4990.25,4990.25,140164900,5078.25,5080.03,4990.25,4990.25,0,0,0
^FCHI,20170413,5090.48,5090.48,5062.32,5071.10,97291600,5090.48,5090.48,5062.32,5071.10,0,0,0
^FCHI,20170412,5114.50,5142.81,5093.98,5101.11,100135100,5114.50,5142.81,5093.98,5101.11,0,0,0
^FCHI,20170411,5086.61,5119.18,5068.25,5101.86,93608500,5086.61,5119.18,5068.25,5101.86,0,0,0
^FCHI,20170410,5127.36,5127.36,5097.56,5107.45,70156500,5127.36,5127.36,5097.56,5107.45,0,0,0
^FCHI,20170407,5104.73,5135.28,5098.05,5135.28,84781300,5104.73,5135.28,5098.05,5135.28,0,0,0
^FCHI,20170406,5063.62,5126.74,5051.61,5121.44,88623600,5063.62,5126.74,5051.61,5121.44,0,0,0
^FCHI,20170405,5104.71,5123.78,5087.68,5091.85,84135600,5104.71,5123.78,5087.68,5091.85,0,0,0
^FCHI,20170404,5087.60,5101.13,5076.35,5101.13,84044500,5087.60,5101.13,5076.35,5101.13,0,0,0
^FCHI,20170403,5130.18,5132.93,5083.14,5085.91,81634900,5130.18,5132.93,5083.14,5085.91,0,0,0
^FCHI,20170331,5077.30,5122.51,5067.74,5122.51,103369500,5077.30,5122.51,5067.74,5122.51,0,0,0
^FCHI,20170330,5075.61,5090.92,5063.07,5089.64,73882900,5075.61,5090.92,5063.07,5089.64,0,0,0
^FCHI,20170329,5063.70,5073.23,5044.42,5069.04,86407300,5063.70,5073.23,5044.42,5069.04,0,0,0
^FCHI,20170328,5027.13,5048.11,5008.67,5046.20,85350200,5027.13,5048.11,5008.67,5046.20,0,0,0
^FCHI,20170327,4975.09,5017.88,4971.07,5017.43,94079200,4975.09,5017.88,4971.07,5017.43,0,0,0
^FCHI,20170324,5027.19,5027.19,5003.58,5020.90,68967900,5027.19,5027.19,5003.58,5020.90,0,0,0
^FCHI,20170323,4996.62,5032.94,4980.56,5032.76,89305600,4996.62,5032.94,4980.56,5032.76,0,0,0
^FCHI,20170322,4969.11,5005.06,4953.57,4994.70,99409000,4969.11,5005.06,4953.57,4994.70,0,0,0
^FCHI,20170321,5030.20,5054.91,4990.64,5002.43,93549600,5030.20,5054.91,4990.64,5002.43,0,0,0
^FCHI,20170320,5008.08,5030.06,5004.08,5012.16,64225900,5008.08,5030.06,5004.08,5012.16,0,0,0
^FCHI,20170317,5006.71,5037.85,5001.39,5029.24,160166500,5006.71,5037.85,5001.39,5029.24,0,0,0
^FCHI,20170316,5027.10,5031.57,5004.62,5013.38,113121800,5027.10,5031.57,5004.62,5013.38,0,0,0
^FCHI,20170315,4980.05,4989.30,4966.05,4985.48,81890200,4980.05,4989.30,4966.05,4985.48,0,0,0
^FCHI,20170314,5006.05,5006.05,4958.88,4974.26,91792700,5006.05,5006.05,4958.88,4974.26,0,0,0
^FCHI,20170313,4997.88,5013.08,4986.06,4999.60,84024800,4997.88,5013.08,4986.06,4999.60,0,0,0
^FCHI,20170310,4994.00,5022.10,4990.15,4993.32,103802900,4994.00,5022.10,4990.15,4993.32,0,0,0
^FCHI,20170309,4950.53,4988.63,4939.87,4981.51,114473500,4950.53,4988.63,4939.87,4981.51,0,0,0
^FCHI,20170308,4941.18,4976.04,4933.77,4960.48,82332500,4941.18,4976.04,4933.77,4960.48,0,0,0
^FCHI,20170307,4974.79,4974.79,4941.26,4955.00,79830000,4974.79,4974.79,4941.26,4955.00,0,0,0
^FCHI,20170306,4983.96,4985.24,4960.26,4972.19,90426900,4983.96,4985.24,4960.26,4972.19,0,0,0
^FCHI,20170303,4953.30,5002.32,4948.72,4995.13,105338700,4953.30,5002.32,4948.72,4995.13,0,0,0
^FCHI,20170302,4965.27,4972.88,4955.41,4963.80,106837200,4965.27,4972.88,4955.41,4963.80,0,0,0
^FCHI,20170301,4897.48,4970.64,4897.48,4960.83,120246400,4897.48,4970.64,4897.48,4960.83,0,0,0
^FCHI,20170228,4862.65,4865.95,4836.53,4858.58,96712700,4862.65,4865.95,4836.53,4858.58,0,0,0
