<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^LARGECAP,20170627,582.64,584.07,576.83,578.02,33863760,582.64,584.07,576.83,578.02,0,0,0
^LARGECAP,20170626,577.72,584.24,575.15,581.54,31945770,577.72,584.24,575.15,581.54,0,0,0
^LARGECAP,20170623,576.50,579.10,572.66,577.34,38410970,576.50,579.10,572.66,577.34,0,0,0
^LARGECAP,20170622,582.33,585.68,576.10,577.59,42593090,582.33,585.68,576.10,577.59,0,0,0
^LARGECAP,20170621,585.12,588.57,573.75,582.93,52912320,585.12,588.57,573.75,582.93,0,0,0
^LARGECAP,20170620,589.92,592.00,582.58,586.14,45674710,589.92,592.00,582.58,586.14,0,0,0
^LARGECAP,20170619,585.71,590.99,582.12,588.45,40383800,585.71,590.99,582.12,588.45,0,0,0
^LARGECAP,20170616,586.69,589.10,579.72,583.22,78234550,586.69,589.10,579.72,583.22,0,0,0
^LARGECAP,20170615,580.41,587.16,577.93,583.10,45192030,580.41,587.16,577.93,583.10,0,0,0
^LARGECAP,20170614,578.72,585.77,573.65,580.27,43677250,578.72,585.77,573.65,580.27,0,0,0
^LARGECAP,20170613,573.75,579.16,569.76,577.34,35844870,573.75,579.16,569.76,577.34,0,0,0
^LARGECAP,20170612,575.54,578.57,569.81,574.11,34881260,575.54,578.57,569.81,574.11,0,0,0
^LARGECAP,20170609,573.89,579.35,571.42,574.93,38747350,573.89,579.35,571.42,574.93,0,0,0
^LARGECAP,20170608,574.24,577.60,568.38,572.37,35325540,574.24,577.60,568.38,572.37,0,0,0
^LARGECAP,20170607,574.44,579.16,569.35,574.32,42412000,574.44,579.16,569.35,574.32,0,0,0
^LARGECAP,20170606,566.02,574.36,563.52,572.49,44437310,566.02,574.36,563.52,572.49,0,0,0
^LARGECAP,20170605,560.08,569.59,557.65,564.97,37387410,560.08,569.59,557.65,564.97,0,0,0
^LARGECAP,20170602,560.06,563.56,555.28,559.35,27844230,560.06,563.56,555.28,559.35,0,0,0
^LARGECAP,20170601,559.55,564.33,556.07,560.84,27728280,559.55,564.33,556.07,560.84,0,0,0
^LARGECAP,20170531,557.94,564.93,553.14,557.03,37700230,557.94,564.93,553.14,557.03,0,0,0
^LARGECAP,20170530,564.28,566.49,555.35,556.61,42055860,564.28,566.49,555.35,556.61,0,0,0
^LARGECAP,20170529,564.50,570.81,559.57,564.01,48289860,564.50,570.81,559.57,564.01,0,0,0
^LARGECAP,20170526,559.03,567.05,556.30,562.06,36561190,559.03,567.05,556.30,562.06,0,0,0
^LARGECAP,20170525,565.23,568.17,557.42,560.01,41594010,565.23,568.17,557.42,560.01,0,0,0
^LARGECAP,20170524,562.78,569.16,557.05,564.47,34267070,562.78,569.16,557.05,564.47,0,0,0
