<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^SSMI,20170512,9061.20,9123.40,9058.10,9123.40,73416400,9061.20,9123.40,9058.10,9123.40,0,0,0
^SSMI,20170511,9090.90,9117.80,9061.20,9064.90,52779600,9090.90,9117.80,9061.20,9064.90,0,0,0
^SSMI,20170510,9062.40,9090.70,9041.40,9089.80,43592400,9062.40,9090.70,9041.40,9089.80,0,0,0
^SSMI,20170509,9037.90,9121.10,9037.90,9113.80,57697300,9037.90,9121.10,9037.90,9113.80,0,0,0
^SSMI,20170508,9002.30,9043.80,8988.60,9039.60,61150000,9002.30,9043.80,8988.60,9039.60,0,0,0
^SSMI,20170505,8941.80,9017.00,8936.10,9016.70,60191800,8941.80,9017.00,8936.10,9016.70,0,0,0
^SSMI,20170504,8912.90,8980.00,8911.70,8980.00,53546400,8912.90,8980.00,8911.70,8980.00,0,0,0
^SSMI,20170503,8863.20,8899.50,8853.80,8891.90,51957400,8863.20,8899.50,8853.80,8891.90,0,0,0
^SSMI,20170502,8834.30,8868.60,8830.80,8868.60,66842900,8834.30,8868.60,8830.80,8868.60,0,0,0
^SSMI,20170428,8836.00,8837.20,8793.10,8812.70,66535800,8836.00,8837.20,8793.10,8812.70,0,0,0
^SSMI,20170427,8789.50,8854.00,8789.50,8844.80,57557500,8789.50,8854.00,8789.50,8844.80,0,0,0
^SSMI,20170426,8773.10,8837.30,8769.00,8830.30,64157200,8773.10,8837.30,8769.00,8830.30,0,0,0
^SSMI,20170425,8718.20,8787.40,8716.40,8775.20,62712700,8718.20,8787.40,8716.40,8775.20,0,0,0
^SSMI,20170424,8659.10,8713.20,8652.60,8711.30,78330300,8659.10,8713.20,8652.60,8711.30,0,0,0
^SSMI,20170421,8559.60,8573.50,8537.90,8554.00,57293200,8559.60,8573.50,8537.90,8554.00,0,0,0
^SSMI,20170420,8518.60,8574.60,8515.90,8557.90,49895700,8518.60,8574.60,8515.90,8557.90,0,0,0
^SSMI,20170419,8522.30,8533.40,8491.60,8532.30,49256000,8522.30,8533.40,8491.60,8532.30,0,0,0
^SSMI,20170418,8635.50,8643.20,8524.20,8529.30,59544400,8635.50,8643.20,8524.20,8529.30,0,0,0
^SSMI,20170413,8639.60,8646.30,8615.60,8629.00,48390700,8639.60,8646.30,8615.60,8629.00,0,0,0
^SSMI,20170412,8655.00,8691.60,8640.30,8663.80,46192200,8655.00,8691.60,8640.30,8663.80,0,0,0
^SSMI,20170411,8580.80,8648.80,8578.80,8641.60,47221700,8580.80,8648.80,8578.80,8641.60,0,0,0
^SSMI,20170410,8628.00,8631.10,8581.50,8616.70,46015300,8628.00,8631.10,8581.50,8616.70,0,0,0
^SSMI,20170407,8607.90,8646.50,8590.60,8640.90,46367100,8607.90,8646.50,8590.60,8640.90,0,0,0
^SSMI,20170406,8601.90,8651.50,8579.00,8638.40,48229100,8601.90,8651.50,8579.00,8638.40,0,0,0
^SSMI,20170405,8636.30,8670.20,8625.40,8640.50,57512000,8636.30,8670.20,8625.40,8640.50,0,0,0
^SSMI,20170404,8631.90,8657.80,8610.10,8647.00,49038300,8631.90,8657.80,8610.10,8647.00,0,0,0
