<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ACB,20170627,26.00,26.20,25.80,25.90,681015,26.00,26.20,25.80,25.90,0,0,0
ACB,20170626,25.70,26.20,25.70,26.10,1201089,25.70,26.20,25.70,26.10,0,0,0
ACB,20170623,26.00,26.10,25.60,25.70,2881921,26.00,26.10,25.60,25.70,0,0,0
ACB,20170622,26.30,26.50,26.10,26.10,1990597,26.30,26.50,26.10,26.10,30,0,0
ACB,20170621,26.80,26.90,26.10,26.30,3907011,26.80,26.90,26.10,26.30,0,0,0
ACB,20170620,26.70,27.10,26.70,26.80,2009016,26.70,27.10,26.70,26.80,22,0,0
ACB,20170619,26.60,26.70,26.40,26.60,2509473,26.60,26.70,26.40,26.60,114,0,0
ACB,20170616,26.40,26.50,26.30,26.40,1073742,26.40,26.50,26.30,26.40,0,0,0
ACB,20170615,26.70,26.80,26.40,26.40,2027588,26.70,26.80,26.40,26.40,96,0,0
ACB,20170614,26.60,26.90,26.50,26.70,2095019,26.60,26.90,26.50,26.70,1281670,0,0
ACB,20170613,26.00,26.80,25.90,26.50,2560207,26.00,26.80,25.90,26.50,1447257,0,0
ACB,20170612,26.20,26.40,25.90,26.00,2711450,26.20,26.40,25.90,26.00,32,0,0
ACB,20170609,26.00,26.50,26.00,26.20,1633448,26.00,26.50,26.00,26.20,50020,0,0
ACB,20170608,26.40,26.60,25.90,26.10,1793086,26.40,26.60,25.90,26.10,53,0,100
ACB,20170607,25.50,26.70,25.20,26.40,9677631,25.50,26.70,25.20,26.40,4,0,0
ACB,20170606,25.20,25.30,24.90,25.30,2786052,25.20,25.30,24.90,25.30,2466519,0,0
ACB,20170605,24.70,25.20,24.70,24.80,2071223,24.70,25.20,24.70,24.80,80134,0,0
ACB,20170602,24.80,24.90,24.40,24.70,2358110,24.80,24.90,24.40,24.70,0,0,0
ACB,20170601,25.00,25.40,24.80,24.80,2213737,25.00,25.40,24.80,24.80,230034,0,0
ACB,20170531,24.90,25.40,24.90,25.00,1808309,24.90,25.40,24.90,25.00,60,0,0
ACB,20170530,25.10,25.60,24.90,25.00,3271836,25.10,25.60,24.90,25.00,53,0,0
ACB,20170529,24.80,25.50,24.80,25.10,2434669,24.80,25.50,24.80,25.10,0,0,0
ACB,20170526,25.10,25.20,24.90,25.00,1931186,25.10,25.20,24.90,25.00,53,0,0
ACB,20170525,25.30,25.80,25.10,25.10,4482961,25.30,25.80,25.10,25.10,2,0,0
ACB,20170524,24.50,25.50,24.50,25.20,2741337,24.50,25.50,24.50,25.20,79000,0,0
ACB,20170523,25.20,25.40,24.50,24.50,3154806,25.20,25.40,24.50,24.50,20,0,0
ACB,20170522,24.70,25.70,24.70,25.10,8110171,24.70,25.70,24.70,25.10,60,0,0
ACB,20170519,24.50,25.10,24.30,24.70,3380097,24.50,25.10,24.30,24.70,0,0,55100
ACB,20170518,24.40,25.10,24.20,24.50,4440070,24.40,25.10,24.20,24.50,0,0,0
ACB,20170517,23.90,24.40,23.90,24.40,2463380,23.90,24.40,23.90,24.40,76022,0,0
ACB,20170516,23.30,24.30,23.30,23.90,4063912,23.30,24.30,23.30,23.90,0,0,0
ACB,20170515,23.60,23.70,23.30,23.50,1557823,23.60,23.70,23.30,23.50,21,0,0
ACB,20170512,23.60,23.70,23.40,23.60,1408743,23.60,23.70,23.40,23.60,20,0,0
ACB,20170511,23.70,23.90,23.40,23.40,1225352,23.70,23.90,23.40,23.40,125346,0,0
ACB,20170510,23.90,24.00,23.60,23.70,1722684,23.90,24.00,23.60,23.70,90,0,0
ACB,20170509,23.10,23.80,23.00,23.70,1873308,23.10,23.80,23.00,23.70,66,0,0
ACB,20170508,23.40,23.60,23.00,23.10,1334252,23.40,23.60,23.00,23.10,0,0,0
ACB,20170505,23.80,24.00,23.40,23.50,1540483,23.80,24.00,23.40,23.50,189030,0,0
ACB,20170504,23.90,24.00,23.60,23.80,1511935,23.90,24.00,23.60,23.80,208000,0,0
ACB,20170503,23.20,23.90,23.20,23.80,2622355,23.20,23.90,23.20,23.80,36133,36133,36133
ACB,20170428,22.60,23.40,22.20,23.20,3189572,22.60,23.40,22.20,23.20,0,0,0
ACB,20170427,22.70,23.00,22.60,22.70,867590,22.70,23.00,22.60,22.70,100053,0,0
ACB,20170426,22.30,22.80,22.10,22.70,1183165,22.30,22.80,22.10,22.70,60,0,0
ACB,20170425,22.30,22.60,22.10,22.10,1796943,22.30,22.60,22.10,22.10,0,0,0
ACB,20170424,22.50,22.70,22.50,22.50,1041557,22.50,22.70,22.50,22.50,669005,0,0
ACB,20170421,22.70,22.80,22.50,22.70,1166146,22.70,22.80,22.50,22.70,17704500,0,0
ACB,20170420,22.70,23.00,22.60,22.70,1029547,22.70,23.00,22.60,22.70,46,0,0
ACB,20170419,22.90,22.90,22.70,22.70,904604,22.90,22.90,22.70,22.70,1409840,0,0
ACB,20170418,22.60,22.90,22.30,22.90,1966220,22.60,22.90,22.30,22.90,17715060,0,0
ACB,20170417,22.90,23.30,22.50,22.50,1791452,22.90,23.30,22.50,22.50,7267500,0,0
ACB,20170414,23.00,23.20,22.50,22.90,2869490,23.00,23.20,22.50,22.90,20600,0,0
ACB,20170413,23.10,23.50,23.00,23.00,1942706,23.10,23.50,23.00,23.00,481200,0,0
ACB,20170412,23.70,23.90,23.00,23.10,4187963,23.70,23.90,23.00,23.10,0,0,0
ACB,20170411,24.40,24.40,23.70,23.70,3447528,24.40,24.40,23.70,23.70,415260,0,0
ACB,20170410,24.80,25.00,24.20,24.40,4172644,24.80,25.00,24.20,24.40,0,0,0
ACB,20170407,25.20,25.20,24.60,24.80,2654414,25.20,25.20,24.60,24.80,39,0,0
ACB,20170405,25.30,25.70,25.10,25.20,2922560,25.30,25.70,25.10,25.20,0,0,0
ACB,20170404,25.10,25.70,24.90,25.30,4282474,25.10,25.70,24.90,25.30,120100,0,0
ACB,20170403,24.50,25.00,24.10,25.00,4561999,24.50,25.00,24.10,25.00,99098,0,0
ACB,20170331,24.80,25.00,24.40,24.50,2374460,24.80,25.00,24.40,24.50,60054,0,0
ACB,20170330,24.60,25.00,24.50,24.70,2636139,24.60,25.00,24.50,24.70,0,0,0
ACB,20170329,24.80,24.90,24.30,24.60,4693967,24.80,24.90,24.30,24.60,0,0,0
ACB,20170328,25.20,25.30,24.60,24.70,3883267,25.20,25.30,24.60,24.70,50000,0,0
ACB,20170327,25.50,25.90,24.90,25.20,4647682,25.50,25.90,24.90,25.20,15050,0,0
ACB,20170324,24.90,25.90,24.80,25.50,7262960,24.90,25.90,24.80,25.50,930400,0,0
ACB,20170323,25.00,25.10,24.60,24.90,3086794,25.00,25.10,24.60,24.90,30078,0,0
ACB,20170322,25.00,25.60,24.90,25.00,4597625,25.00,25.60,24.90,25.00,37,0,0
ACB,20170321,24.10,25.10,24.00,25.00,10618307,24.10,25.10,24.00,25.00,5375900,0,0
ACB,20170320,23.50,24.00,23.40,23.90,5125254,23.50,24.00,23.40,23.90,1151059,0,0
ACB,20170317,23.40,24.40,23.00,23.40,5329369,23.40,24.40,23.00,23.40,3653810,0,0
ACB,20170316,23.20,23.40,23.10,23.20,1849057,23.20,23.40,23.10,23.20,12781907,0,0
ACB,20170315,22.80,23.40,22.30,23.10,1841218,22.80,23.40,22.30,23.10,40,0,0
ACB,20170314,22.90,23.20,22.70,22.80,1043292,22.90,23.20,22.70,22.80,88,0,0
ACB,20170313,23.70,23.70,22.90,22.90,3149747,23.70,23.70,22.90,22.90,0,0,0
ACB,20170310,23.30,24.00,23.30,23.70,3996520,23.30,24.00,23.30,23.70,0,0,0
ACB,20170309,23.30,23.90,23.30,23.40,2499511,23.30,23.90,23.30,23.40,154,0,0
ACB,20170308,22.50,24.00,22.30,23.30,3300268,22.50,24.00,22.30,23.30,5500000,0,0
ACB,20170307,22.80,22.80,22.40,22.50,342874,22.80,22.80,22.40,22.50,0,0,0
ACB,20170306,22.90,23.10,22.60,22.60,767074,22.90,23.10,22.60,22.60,0,0,0
ACB,20170303,22.50,22.80,22.00,22.80,658085,22.50,22.80,22.00,22.80,60000,0,0
ACB,20170302,22.60,22.60,22.20,22.50,356057,22.60,22.60,22.20,22.50,190027,0,0
ACB,20170301,22.80,22.80,22.20,22.60,947826,22.80,22.80,22.20,22.60,0,0,0
ACB,20170228,23.00,23.10,22.70,22.90,493768,23.00,23.10,22.70,22.90,94,0,0
ACB,20170227,22.70,23.00,22.70,22.90,652055,22.70,23.00,22.70,22.90,0,0,300
ACB,20170224,22.70,23.60,22.60,22.70,2041146,22.70,23.60,22.60,22.70,99,0,0
ACB,20170223,22.60,22.60,22.30,22.60,599354,22.60,22.60,22.30,22.60,40,0,0
ACB,20170222,22.70,22.70,22.10,22.60,890701,22.70,22.70,22.10,22.60,55,0,0
ACB,20170221,22.70,22.90,22.60,22.70,992334,22.70,22.90,22.60,22.70,20,0,0
ACB,20170220,22.70,23.10,22.60,22.70,1208009,22.70,23.10,22.60,22.70,0,0,6000
