<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ACV,20170627,52.00,52.00,51.90,51.90,94010,52.00,52.00,51.90,51.90,299400,374700,345100
ACV,20170626,51.80,52.60,51.80,52.00,72530,51.80,52.60,51.80,52.00,0,57400,18000
ACV,20170623,52.00,52.00,51.80,52.00,116292,52.00,52.00,51.80,52.00,0,107700,25100
ACV,20170622,52.00,52.50,52.00,52.10,88232,52.00,52.50,52.00,52.10,0,77400,0
ACV,20170621,52.10,52.10,51.90,52.00,180700,52.10,52.10,51.90,52.00,300000,467400,408800
ACV,20170620,51.00,52.30,51.00,52.10,265610,51.00,52.30,51.00,52.10,500000,717400,661500
ACV,20170619,51.40,52.10,51.30,52.00,174000,51.40,52.10,51.30,52.00,0,141690,300
ACV,20170616,51.20,51.90,51.00,51.80,88540,51.20,51.90,51.00,51.80,300000,367110,314000
ACV,20170615,49.40,52.00,49.40,51.90,142600,49.40,52.00,49.40,51.90,0,54900,71800
ACV,20170614,49.00,50.00,49.00,50.00,115925,49.00,50.00,49.00,50.00,0,54900,71800
ACV,20170613,48.20,49.00,48.20,49.00,51948,48.20,49.00,48.20,49.00,130000,163300,155000
ACV,20170612,48.00,48.20,48.00,48.20,36450,48.00,48.20,48.00,48.20,300000,335600,320400
ACV,20170609,48.30,48.50,48.00,48.00,52660,48.30,48.50,48.00,48.00,170000,202800,203400
ACV,20170608,48.30,48.50,47.90,48.50,28004,48.30,48.50,47.90,48.50,173000,190200,173300
ACV,20170607,48.00,48.50,48.00,48.10,68680,48.00,48.50,48.00,48.10,150000,202500,175000
ACV,20170606,47.90,48.50,47.90,48.50,23588,47.90,48.50,47.90,48.50,0,6600,800
ACV,20170605,48.00,48.00,47.80,48.00,21299,48.00,48.00,47.80,48.00,0,19800,100
ACV,20170602,48.00,48.10,47.90,48.00,309009,48.00,48.10,47.90,48.00,132500,422800,415700
ACV,20170601,48.00,48.20,47.60,47.90,129900,48.00,48.20,47.60,47.90,227700,343000,319300
ACV,20170531,48.10,48.10,47.70,48.00,14500,48.10,48.10,47.70,48.00,0,900,0
ACV,20170530,48.60,48.60,47.70,47.80,18800,48.60,48.60,47.70,47.80,0,1100,600
ACV,20170529,48.50,49.00,48.00,48.80,23160,48.50,49.00,48.00,48.80,0,5600,900
ACV,20170526,48.90,49.00,48.60,49.00,16430,48.90,49.00,48.60,49.00,0,7700,0
ACV,20170525,49.00,49.30,48.90,49.20,97605,49.00,49.30,48.90,49.20,0,45900,17500
ACV,20170524,49.60,49.60,49.10,49.30,49335,49.60,49.60,49.10,49.30,125000,160400,127500
ACV,20170523,49.50,49.50,49.30,49.40,36150,49.50,49.50,49.30,49.40,0,13000,700
ACV,20170522,49.50,49.70,49.20,49.50,20900,49.50,49.70,49.20,49.50,0,11200,0
ACV,20170519,49.20,49.80,49.20,49.60,27120,49.20,49.80,49.20,49.60,0,21000,900
ACV,20170518,49.30,49.80,49.30,49.60,92100,49.30,49.80,49.30,49.60,0,87500,35800
ACV,20170517,48.00,49.50,48.00,49.40,18035,48.00,49.50,48.00,49.40,0,7100,800
ACV,20170516,50.10,50.10,49.60,49.60,26520,50.10,50.10,49.60,49.60,200000,212600,202700
