<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ADP,20170627,30.60,34.30,30.60,34.00,13100,30.60,34.30,30.60,34.00,0,1000,0
ADP,20170626,35.90,35.90,35.90,35.90,100,35.90,35.90,35.90,35.90,15596,0,0
ADP,20170623,35.47,35.47,29.82,30.30,300,36.40,36.40,30.60,31.10,0,0,0
ADP,20170622,34.98,34.98,34.98,34.98,100,35.90,35.90,35.90,35.90,0,0,0
ADP,20170620,36.83,36.83,36.83,36.83,100,37.80,37.80,37.80,37.80,5000,0,0
ADP,20170619,35.56,35.56,35.56,35.56,200,36.50,36.50,36.50,36.50,0,100,0
ADP,20170616,35.07,35.07,35.07,35.07,100,36.00,36.00,36.00,36.00,0,100,0
ADP,20170615,34.97,35.56,34.97,35.07,2860,35.90,36.50,35.90,36.00,0,0,0
ADP,20170614,35.27,35.27,35.08,35.07,1200,36.20,36.20,36.00,36.00,0,0,0
ADP,20170613,34.19,34.19,34.19,34.20,100,35.10,35.10,35.10,35.10,0,0,0
ADP,20170612,35.47,35.47,35.47,35.46,135,36.40,36.40,36.40,36.40,0,0,0
ADP,20170609,34.97,34.97,34.97,34.98,100,35.90,35.90,35.90,35.90,0,0,0
ADP,20170608,35.07,36.93,34.39,34.39,3540,36.00,37.90,35.30,35.30,0,0,0
ADP,20170607,39.46,39.46,34.49,34.49,420,40.50,40.50,35.40,35.40,0,0,0
ADP,20170606,39.85,39.85,39.85,39.85,3,40.90,40.90,40.90,40.90,0,0,0
ADP,20170601,39.84,39.84,39.84,39.85,100,40.90,40.90,40.90,40.90,0,0,0
ADP,20170531,40.43,40.43,34.58,34.68,2300,41.50,41.50,35.50,35.60,0,0,0
ADP,20170530,35.07,35.56,35.07,35.07,1700,36.00,36.50,36.00,36.00,0,0,0
ADP,20170526,35.17,35.17,34.59,34.59,6526,36.10,36.10,35.50,35.50,0,0,0
ADP,20170525,35.17,35.17,35.17,35.17,1100,36.10,36.10,36.10,36.10,0,0,0
ADP,20170524,35.27,35.27,35.08,35.07,7300,36.20,36.20,36.00,36.00,0,4100,100
ADP,20170523,35.37,35.37,35.27,35.27,2100,36.30,36.30,36.20,36.20,0,0,0
ADP,20170522,35.26,35.26,35.26,35.27,2300,36.20,36.20,36.20,36.20,0,0,0
ADP,20170519,35.27,35.27,35.08,35.07,4500,36.20,36.20,36.00,36.00,0,300,0
ADP,20170518,35.27,35.27,35.27,35.27,26,36.20,36.20,36.20,36.20,0,0,0
ADP,20170517,35.08,35.37,35.08,35.37,8600,36.00,36.30,36.00,36.30,0,3200,0
ADP,20170516,35.36,35.36,35.27,35.27,7000,36.30,36.30,36.20,36.20,0,0,0
ADP,20170512,35.26,35.26,35.07,35.07,1000,36.20,36.20,36.00,36.00,0,500,0
ADP,20170511,35.17,35.17,34.97,35.07,25726,36.10,36.10,35.90,36.00,0,9000,0
ADP,20170510,35.08,35.08,35.08,35.07,13010,36.00,36.00,36.00,36.00,0,8000,0
ADP,20170509,35.07,35.07,34.58,34.59,7060,36.00,36.00,35.50,35.50,0,5000,0
ADP,20170508,35.07,35.07,35.07,35.07,2000,36.00,36.00,36.00,36.00,0,2000,0
ADP,20170505,35.17,36.44,35.07,35.07,12300,36.10,37.40,36.00,36.00,0,4100,0
ADP,20170504,36.54,36.54,35.17,35.17,7200,37.50,37.50,36.10,36.10,0,0,0
ADP,20170503,35.07,35.27,35.07,35.27,3900,36.00,36.20,36.00,36.20,0,1900,0
ADP,20170428,35.56,35.56,35.07,35.17,7900,36.50,36.50,36.00,36.10,0,2000,0
ADP,20170426,35.56,35.56,35.56,35.56,2000,36.50,36.50,36.50,36.50,0,0,0
ADP,20170425,35.17,35.17,35.07,35.07,1404,36.10,36.10,36.00,36.00,0,1000,0
ADP,20170424,35.07,35.56,35.07,35.07,6500,36.00,36.50,36.00,36.00,0,600,0
ADP,20170421,36.05,36.05,35.56,35.56,2000,37.00,37.00,36.50,36.50,0,0,0
ADP,20170420,35.76,36.05,35.76,36.05,4100,36.70,37.00,36.70,37.00,0,0,0
ADP,20170419,36.05,36.05,36.05,36.05,13200,37.00,37.00,37.00,37.00,0,0,0
ADP,20170418,36.05,36.34,36.05,36.34,5700,37.00,37.30,37.00,37.30,0,0,0
