<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
AFX,20170627,4.40,4.70,4.40,4.70,80500,4.40,4.70,4.40,4.70,0,0,0
AFX,20170626,4.00,4.10,4.00,4.10,3600,4.00,4.10,4.00,4.10,0,0,0
AFX,20170623,3.90,3.90,3.90,3.90,6200,3.90,3.90,3.90,3.90,0,0,0
AFX,20170621,3.90,3.90,3.70,3.70,10000,3.90,3.90,3.70,3.70,0,0,0
AFX,20170620,3.90,3.90,3.90,3.90,2000,3.90,3.90,3.90,3.90,0,0,0
AFX,20170619,3.80,3.90,3.80,3.90,4600,3.80,3.90,3.80,3.90,0,0,0
AFX,20170616,3.90,3.90,3.90,3.90,500,3.90,3.90,3.90,3.90,0,0,0
AFX,20170615,3.80,3.80,3.80,3.80,4100,3.80,3.80,3.80,3.80,0,0,0
AFX,20170614,3.70,3.90,3.70,3.90,15900,3.70,3.90,3.70,3.90,0,0,0
AFX,20170613,3.70,3.90,3.70,3.70,19900,3.70,3.90,3.70,3.70,0,0,0
AFX,20170612,3.70,3.70,3.70,3.70,100,3.70,3.70,3.70,3.70,0,0,0
AFX,20170609,3.70,3.70,3.60,3.60,7000,3.70,3.70,3.60,3.60,0,0,0
AFX,20170608,3.60,3.70,3.60,3.70,3000,3.60,3.70,3.60,3.70,0,0,0
AFX,20170607,3.30,3.30,3.30,3.30,200,3.30,3.30,3.30,3.30,0,0,0
AFX,20170606,3.70,3.70,3.70,3.70,3600,3.70,3.70,3.70,3.70,0,0,0
AFX,20170531,3.90,4.00,3.90,4.00,200,3.90,4.00,3.90,4.00,0,0,0
AFX,20170529,3.70,3.70,3.70,3.70,1000,3.70,3.70,3.70,3.70,0,0,0
AFX,20170526,3.70,3.70,3.70,3.70,300,3.70,3.70,3.70,3.70,0,0,0
AFX,20170523,3.70,3.70,3.70,3.70,5400,3.70,3.70,3.70,3.70,0,0,0
AFX,20170522,3.70,3.70,3.70,3.70,600,3.70,3.70,3.70,3.70,0,0,0
AFX,20170519,3.70,3.70,3.70,3.70,1000,3.70,3.70,3.70,3.70,0,0,0
AFX,20170518,3.60,3.60,3.60,3.60,300,3.60,3.60,3.60,3.60,0,0,0
AFX,20170517,3.70,3.70,3.70,3.70,3200,3.70,3.70,3.70,3.70,0,0,0
AFX,20170516,3.70,3.70,3.70,3.70,800,3.70,3.70,3.70,3.70,0,0,0
AFX,20170515,3.70,3.70,3.70,3.70,300,3.70,3.70,3.70,3.70,0,0,0
AFX,20170512,3.70,3.70,3.70,3.70,2000,3.70,3.70,3.70,3.70,0,0,0
AFX,20170511,3.70,3.70,3.70,3.70,700,3.70,3.70,3.70,3.70,0,0,0
AFX,20170510,3.70,3.70,3.70,3.70,800,3.70,3.70,3.70,3.70,0,0,0
AFX,20170508,3.70,3.70,3.70,3.70,300,3.70,3.70,3.70,3.70,0,0,0
AFX,20170505,3.90,4.00,3.90,4.00,600,3.90,4.00,3.90,4.00,0,0,0
AFX,20170504,3.70,3.70,3.70,3.70,600,3.70,3.70,3.70,3.70,0,0,0
AFX,20170503,3.70,3.70,3.70,3.70,100,3.70,3.70,3.70,3.70,0,0,0
AFX,20170427,3.10,3.50,3.10,3.50,200,3.10,3.50,3.10,3.50,0,0,0
AFX,20170426,3.10,3.10,3.10,3.10,2400,3.10,3.10,3.10,3.10,0,0,0
AFX,20170412,3.60,3.60,3.60,3.60,100,3.60,3.60,3.60,3.60,0,0,0
AFX,20170405,3.60,3.60,3.60,3.60,200,3.60,3.60,3.60,3.60,0,0,0
AFX,20170331,3.40,3.40,3.40,3.40,1900,3.40,3.40,3.40,3.40,0,0,0
AFX,20170330,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
AFX,20170327,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
AFX,20170321,3.80,3.80,3.80,3.80,500,3.80,3.80,3.80,3.80,0,0,0
AFX,20170314,4.40,4.40,4.40,4.40,100,4.40,4.40,4.40,4.40,0,0,0
AFX,20170313,4.30,4.30,4.30,4.30,100,4.30,4.30,4.30,4.30,0,0,0
AFX,20170310,4.00,4.10,4.00,4.10,1000,4.00,4.10,4.00,4.10,0,0,0
AFX,20170303,4.30,4.90,4.30,4.90,300,4.30,4.90,4.30,4.90,0,0,0
AFX,20170302,4.70,4.70,4.70,4.70,100,4.70,4.70,4.70,4.70,0,0,0
AFX,20170301,4.20,4.20,4.00,4.00,800,4.20,4.20,4.00,4.00,0,0,0
AFX,20170228,5.10,5.10,3.90,3.90,400,5.10,5.10,3.90,3.90,0,0,0
AFX,20170227,4.20,4.80,4.20,4.80,200,4.20,4.80,4.20,4.80,0,0,0
AFX,20170224,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
AFX,20170223,3.70,3.70,3.70,3.70,100,3.70,3.70,3.70,3.70,0,0,0
AFX,20170222,3.30,3.30,3.30,3.30,9600,3.30,3.30,3.30,3.30,0,0,0
AFX,20170221,3.30,4.00,3.30,4.00,200,3.30,4.00,3.30,4.00,0,0,0
AFX,20170220,3.50,3.50,3.50,3.50,100,3.50,3.50,3.50,3.50,0,0,0
AFX,20170217,4.10,4.10,4.10,4.10,200,4.10,4.10,4.10,4.10,0,0,0
AFX,20170216,4.10,4.10,4.10,4.10,100,4.10,4.10,4.10,4.10,0,0,0
AFX,20170214,4.90,4.90,4.20,4.20,500,4.90,4.90,4.20,4.20,0,0,0
