<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
AGX,20170622,30.30,30.30,30.30,30.30,1000,30.30,30.30,30.30,30.30,0,0,0
AGX,20170615,30.30,30.30,30.30,30.30,100,30.30,30.30,30.30,30.30,0,0,0
AGX,20170614,30.00,30.20,30.00,30.20,500,30.00,30.20,30.00,30.20,0,0,0
AGX,20170609,30.00,30.00,30.00,30.00,600,30.00,30.00,30.00,30.00,0,0,0
AGX,20170516,30.00,30.00,30.00,30.00,100,30.00,30.00,30.00,30.00,0,0,0
AGX,20170508,31.80,31.80,31.80,31.80,100,31.80,31.80,31.80,31.80,0,0,0
AGX,20170505,27.70,27.70,27.70,27.70,100,27.70,27.70,27.70,27.70,0,0,0
AGX,20170504,32.50,32.50,32.50,32.50,100,32.50,32.50,32.50,32.50,0,0,0
AGX,20170503,32.20,32.20,32.20,32.20,100,32.20,32.20,32.20,32.20,0,0,0
AGX,20170427,32.70,32.70,32.70,32.70,200,32.70,32.70,32.70,32.70,0,0,0
AGX,20170417,28.50,28.50,28.50,28.50,800,28.50,28.50,28.50,28.50,0,0,0
AGX,20170414,24.90,24.90,24.90,24.90,100,24.90,24.90,24.90,24.90,0,0,0
AGX,20170413,21.70,21.70,21.70,21.70,100,21.70,21.70,21.70,21.70,0,0,0
AGX,20170407,18.90,18.90,18.90,18.90,100,18.90,18.90,18.90,18.90,0,0,0
AGX,20170405,16.50,16.50,16.50,16.50,100,16.50,16.50,16.50,16.50,0,0,0
AGX,20170223,14.40,14.40,14.40,14.40,100,14.40,14.40,14.40,14.40,0,0,0
AGX,20161230,25.00,25.00,23.00,23.00,1600,25.00,25.00,23.00,23.00,0,0,0
AGX,20161229,25.00,25.00,25.00,25.00,5000,25.00,25.00,25.00,25.00,0,0,0
AGX,20161219,27.00,27.00,27.00,27.00,62100,27.00,27.00,27.00,27.00,0,0,0
AGX,20161216,27.00,27.00,27.00,27.00,60000,27.00,27.00,27.00,27.00,0,0,0
AGX,20161213,26.00,26.00,26.00,26.00,200,26.00,26.00,26.00,26.00,0,0,0
AGX,20161209,26.50,26.50,26.50,26.50,100,26.50,26.50,26.50,26.50,0,0,0
AGX,20161208,27.00,27.00,27.00,27.00,22000,27.00,27.00,27.00,27.00,0,0,0
AGX,20161207,26.00,26.00,26.00,26.00,1100,26.00,26.00,26.00,26.00,0,0,0
AGX,20161201,26.00,26.00,26.00,26.00,300,27.00,27.00,27.00,27.00,0,0,0
AGX,20161130,26.00,26.00,26.00,26.00,12600,27.00,27.00,27.00,27.00,0,0,0
AGX,20161123,24.94,24.94,24.94,24.94,100,25.90,25.90,25.90,25.90,0,0,0
AGX,20161121,21.76,21.76,21.76,21.76,800,22.60,22.60,22.60,22.60,0,0,0
AGX,20161117,18.97,18.97,18.97,18.97,100,19.70,19.70,19.70,19.70,0,0,0
AGX,20161111,22.15,22.15,22.15,22.15,100,23.00,23.00,23.00,23.00,0,0,0
AGX,20160930,25.90,26.00,25.90,26.00,10000,26.90,27.00,26.90,27.00,0,0,0
AGX,20160929,26.00,26.00,26.00,26.00,9400,27.00,27.00,27.00,27.00,0,0,0
AGX,20160927,26.00,26.00,26.00,26.00,200,27.00,27.00,27.00,27.00,0,0,0
AGX,20160923,26.00,26.00,26.00,26.00,3000,27.00,27.00,27.00,27.00,0,0,0
AGX,20160826,26.48,26.48,26.48,26.48,200,28.50,28.50,28.50,28.50,0,0,0
AGX,20160824,25.09,25.09,25.09,25.09,10400,27.00,27.00,27.00,27.00,0,0,0
AGX,20160823,25.09,25.09,25.09,25.09,900,27.00,27.00,27.00,27.00,0,0,0
AGX,20160822,25.09,25.09,25.09,25.09,300,27.00,27.00,27.00,27.00,0,0,0
AGX,20160819,25.09,25.09,25.09,25.09,900,27.00,27.00,27.00,27.00,0,0,0
AGX,20160818,25.09,25.09,25.09,25.09,7900,27.00,27.00,27.00,27.00,0,0,0
AGX,20160817,25.09,25.09,25.09,25.09,25900,27.00,27.00,27.00,27.00,0,0,0
AGX,20160816,25.09,25.09,25.09,25.09,25200,27.00,27.00,27.00,27.00,0,0,0
AGX,20160815,24.16,26.02,24.16,25.09,3600,26.00,28.00,26.00,27.00,0,0,0
AGX,20160811,25.09,25.09,25.09,25.09,2000,27.00,27.00,27.00,27.00,0,0,0
AGX,20160810,25.08,25.08,25.08,25.09,1100,27.00,27.00,27.00,27.00,0,0,0
AGX,20160713,26.95,26.95,26.95,26.94,1000,29.00,29.00,29.00,29.00,0,0,0
AGX,20160701,25.09,25.09,25.09,25.09,100,27.00,27.00,27.00,27.00,0,0,0
AGX,20160421,30.93,30.93,30.93,30.94,1000,33.30,33.30,33.30,33.30,0,0,0
AGX,20160329,26.94,26.94,26.94,26.94,1100,29.00,29.00,29.00,29.00,0,0,0
AGX,20160216,26.94,26.94,26.94,26.94,100,30.00,30.00,30.00,30.00,0,0,0
AGX,20160121,31.43,31.43,31.43,31.43,2800,35.00,35.00,35.00,35.00,0,2800,0
AGX,20160113,31.44,31.44,31.44,31.43,2100,35.00,35.00,35.00,35.00,0,0,0
AGX,20160106,29.64,29.64,29.64,29.64,2000,33.00,33.00,33.00,33.00,0,0,0
AGX,20151214,27.85,27.85,27.85,27.84,5000,31.00,31.00,31.00,31.00,0,0,0
AGX,20151210,30.98,30.98,30.98,30.99,500,34.50,34.50,34.50,34.50,0,0,0
AGX,20151203,26.94,26.94,26.94,26.94,500,30.00,30.00,30.00,30.00,0,0,0
AGX,20151202,23.71,23.71,23.71,23.71,500,26.40,26.40,26.40,26.40,0,0,0
AGX,20151201,20.66,20.66,20.66,20.66,500,23.00,23.00,23.00,23.00,0,0,0
