<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
AME,20170620,4.10,4.10,4.10,4.10,4000,4.10,4.10,4.10,4.10,0,0,0
AME,20170619,4.10,4.10,4.10,4.10,5000,4.10,4.10,4.10,4.10,0,0,0
AME,20170615,4.30,4.30,4.30,4.30,3000,4.30,4.30,4.30,4.30,0,0,0
AME,20170608,4.30,4.30,4.30,4.30,100,4.30,4.30,4.30,4.30,0,0,0
AME,20170601,4.50,4.50,4.50,4.50,100,4.50,4.50,4.50,4.50,0,0,0
AME,20170524,4.10,4.10,4.10,4.10,3000,4.10,4.10,4.10,4.10,0,0,0
AME,20170522,4.00,4.50,4.00,4.50,300,4.00,4.50,4.00,4.50,0,0,0
AME,20170512,4.20,4.20,4.10,4.10,3200,4.20,4.20,4.10,4.10,0,0,0
AME,20170511,4.10,4.10,4.10,4.10,3000,4.10,4.10,4.10,4.10,0,0,0
AME,20170426,4.00,4.00,4.00,4.00,200,4.00,4.00,4.00,4.00,0,0,0
AME,20170425,4.00,4.00,4.00,4.00,6000,4.00,4.00,4.00,4.00,0,0,6000
AME,20170411,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
AME,20170407,3.90,3.90,3.90,3.90,1000,3.90,3.90,3.90,3.90,0,0,0
AME,20170404,3.90,3.90,3.90,3.90,1000,3.90,3.90,3.90,3.90,0,0,0
AME,20170403,3.90,3.90,3.90,3.90,1000,3.90,3.90,3.90,3.90,0,0,0
AME,20170328,3.80,3.80,3.80,3.80,1000,3.80,3.80,3.80,3.80,0,0,0
AME,20170323,3.80,3.80,3.80,3.80,1000,3.80,3.80,3.80,3.80,0,0,0
AME,20170321,3.80,3.80,3.80,3.80,1000,3.80,3.80,3.80,3.80,0,0,0
AME,20170320,3.70,3.70,3.70,3.70,200,3.70,3.70,3.70,3.70,0,0,0
AME,20170316,3.70,3.70,3.70,3.70,800,3.70,3.70,3.70,3.70,0,0,0
AME,20170210,3.90,3.90,3.90,3.90,1700,3.90,3.90,3.90,3.90,0,0,0
AME,20170117,3.90,3.90,3.90,3.90,2000,3.90,3.90,3.90,3.90,0,0,0
AME,20170112,3.90,3.90,3.90,3.90,300,3.90,3.90,3.90,3.90,0,0,0
AME,20161229,3.90,3.90,3.90,3.90,1600,3.90,3.90,3.90,3.90,0,0,0
AME,20161219,3.90,3.90,3.90,3.90,2000,3.90,3.90,3.90,3.90,0,0,0
AME,20161207,3.90,3.90,3.90,3.90,3500,3.90,3.90,3.90,3.90,0,0,0
AME,20161129,3.90,3.90,3.90,3.90,3100,3.90,3.90,3.90,3.90,0,0,0
AME,20161128,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
AME,20161125,3.90,3.90,3.90,3.90,500,3.90,3.90,3.90,3.90,0,0,0
AME,20161124,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
AME,20161122,3.90,3.90,3.90,3.90,200,3.90,3.90,3.90,3.90,0,0,0
AME,20161111,3.90,3.90,3.90,3.90,1200,3.90,3.90,3.90,3.90,0,0,0
AME,20161019,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
AME,20161003,4.00,4.00,4.00,4.00,200,4.00,4.00,4.00,4.00,0,0,0
AME,20160928,3.90,3.90,3.90,3.90,500,3.90,3.90,3.90,3.90,0,0,0
AME,20160909,3.90,3.90,3.90,3.90,5000,3.90,3.90,3.90,3.90,0,0,0
AME,20160831,4.00,4.00,4.00,4.00,1900,4.00,4.00,4.00,4.00,0,1900,0
AME,20160824,3.90,3.90,3.90,3.90,2100,3.90,3.90,3.90,3.90,0,0,0
AME,20160823,3.90,3.90,3.90,3.90,2000,3.90,3.90,3.90,3.90,0,0,0
AME,20160818,4.00,4.00,3.90,3.90,600,4.00,4.00,3.90,3.90,0,0,0
AME,20160815,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
AME,20160812,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
AME,20160811,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20160726,3.90,3.90,3.90,3.90,600,3.90,3.90,3.90,3.90,0,0,0
AME,20160725,3.90,3.90,3.90,3.90,400,3.90,3.90,3.90,3.90,0,0,0
AME,20160719,3.90,3.90,3.90,3.90,7100,3.90,3.90,3.90,3.90,0,0,0
AME,20160718,3.90,3.90,3.90,3.90,5200,3.90,3.90,3.90,3.90,0,0,0
AME,20160713,4.00,4.00,4.00,4.00,1000,4.00,4.00,4.00,4.00,0,1000,0
AME,20160711,4.00,4.00,3.90,4.00,4800,4.00,4.00,3.90,4.00,0,4100,0
AME,20160708,4.00,4.00,4.00,4.00,900,4.00,4.00,4.00,4.00,0,900,0
AME,20160707,4.00,4.00,3.90,3.90,7000,4.00,4.00,3.90,3.90,0,0,0
AME,20160701,3.90,3.90,3.90,3.90,26100,3.90,3.90,3.90,3.90,0,0,0
AME,20160627,4.00,4.00,3.90,3.90,7900,4.00,4.00,3.90,3.90,0,0,0
AME,20160620,4.10,4.10,4.10,4.10,500,4.10,4.10,4.10,4.10,0,0,0
AME,20160608,3.90,4.00,3.90,4.00,3000,3.90,4.00,3.90,4.00,0,0,0
AME,20160530,3.90,3.90,3.90,3.90,2000,3.90,3.90,3.90,3.90,0,0,0
AME,20160523,3.90,3.90,3.90,3.90,1400,3.90,3.90,3.90,3.90,0,0,0
AME,20160518,3.90,4.20,3.60,4.20,3400,3.90,4.20,3.60,4.20,0,0,0
AME,20160511,3.90,3.90,3.90,3.90,1000,3.90,3.90,3.90,3.90,0,0,0
AME,20160510,3.90,3.90,3.90,3.90,1600,3.90,3.90,3.90,3.90,0,0,0
AME,20160428,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20160427,4.10,4.10,4.10,4.10,1200,4.10,4.10,4.10,4.10,0,0,0
AME,20160422,4.10,4.50,4.10,4.50,2100,4.10,4.50,4.10,4.50,0,0,0
AME,20160421,4.10,4.10,4.10,4.10,200,4.10,4.10,4.10,4.10,0,0,0
AME,20160420,4.10,4.10,4.10,4.10,1000,4.10,4.10,4.10,4.10,0,0,0
AME,20160419,4.10,4.10,4.10,4.10,2000,4.10,4.10,4.10,4.10,0,0,0
AME,20160415,4.10,4.10,4.10,4.10,2000,4.10,4.10,4.10,4.10,0,0,0
AME,20160414,4.10,4.10,4.10,4.10,3000,4.10,4.10,4.10,4.10,0,0,0
AME,20160413,4.00,4.10,4.00,4.10,2900,4.00,4.10,4.00,4.10,0,0,0
AME,20160412,4.00,4.00,4.00,4.00,2500,4.00,4.00,4.00,4.00,0,0,0
AME,20160404,4.00,4.00,4.00,4.00,2000,4.00,4.00,4.00,4.00,0,0,0
AME,20160401,4.10,4.10,4.10,4.10,1400,4.10,4.10,4.10,4.10,0,0,0
AME,20160330,4.10,4.10,4.10,4.10,100,4.10,4.10,4.10,4.10,0,0,0
AME,20160329,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
AME,20160325,4.40,4.40,4.40,4.40,100,4.40,4.40,4.40,4.40,0,0,0
AME,20160322,4.00,4.00,4.00,4.00,300,4.00,4.00,4.00,4.00,0,0,0
AME,20160321,4.00,4.00,4.00,4.00,200,4.00,4.00,4.00,4.00,0,0,0
AME,20160318,3.90,3.90,3.90,3.90,1000,3.90,3.90,3.90,3.90,0,0,0
AME,20160316,4.00,4.00,4.00,4.00,1000,4.00,4.00,4.00,4.00,0,0,0
AME,20160315,4.00,4.00,4.00,4.00,1000,4.00,4.00,4.00,4.00,0,0,0
AME,20160314,4.00,4.00,4.00,4.00,2800,4.00,4.00,4.00,4.00,0,0,0
AME,20160311,4.00,4.00,4.00,4.00,4500,4.00,4.00,4.00,4.00,0,0,0
AME,20160310,4.00,4.00,4.00,4.00,12100,4.00,4.00,4.00,4.00,0,0,0
AME,20160309,4.10,4.10,4.00,4.00,7000,4.10,4.10,4.00,4.00,0,0,0
AME,20160308,4.10,4.10,4.10,4.10,1000,4.10,4.10,4.10,4.10,0,0,1000
AME,20160229,4.00,4.00,4.00,4.00,2100,4.00,4.00,4.00,4.00,0,0,0
AME,20160225,4.00,4.00,4.00,4.00,2100,4.00,4.00,4.00,4.00,0,0,2100
AME,20160222,4.10,4.10,4.10,4.10,1000,4.10,4.10,4.10,4.10,0,0,0
AME,20160218,4.10,4.10,4.10,4.10,500,4.10,4.10,4.10,4.10,0,0,0
AME,20160217,4.10,4.10,4.10,4.10,3900,4.10,4.10,4.10,4.10,0,0,0
AME,20160122,4.40,4.40,4.40,4.40,100,4.40,4.40,4.40,4.40,0,0,0
AME,20160115,4.00,4.00,4.00,4.00,1100,4.00,4.00,4.00,4.00,0,0,0
AME,20160114,4.00,4.00,4.00,4.00,900,4.00,4.00,4.00,4.00,0,0,0
AME,20160112,4.00,4.00,4.00,4.00,1600,4.00,4.00,4.00,4.00,0,0,0
AME,20160108,4.10,4.10,4.00,4.00,10500,4.10,4.10,4.00,4.00,0,0,0
AME,20151229,4.00,4.00,4.00,4.00,3800,4.00,4.00,4.00,4.00,0,0,0
AME,20151225,4.00,4.00,4.00,4.00,2000,4.00,4.00,4.00,4.00,0,0,0
AME,20151223,4.00,4.00,4.00,4.00,1700,4.00,4.00,4.00,4.00,0,0,0
AME,20151217,4.00,4.00,4.00,4.00,300,4.00,4.00,4.00,4.00,0,0,0
AME,20151211,4.00,4.00,4.00,4.00,20000,4.00,4.00,4.00,4.00,0,0,0
AME,20151210,4.00,4.00,4.00,4.00,1100,4.00,4.00,4.00,4.00,0,0,0
AME,20151207,4.00,4.00,4.00,4.00,1300,4.00,4.00,4.00,4.00,0,0,0
AME,20151204,4.00,4.00,4.00,4.00,1000,4.00,4.00,4.00,4.00,0,0,0
AME,20151202,3.60,4.00,3.60,4.00,500,3.60,4.00,3.60,4.00,0,0,0
AME,20151201,4.00,4.00,4.00,4.00,300,4.00,4.00,4.00,4.00,0,0,0
AME,20151125,4.30,4.30,4.30,4.30,200,4.30,4.30,4.30,4.30,0,0,0
AME,20151118,4.70,4.70,4.70,4.70,100,4.70,4.70,4.70,4.70,0,0,0
AME,20151109,4.80,4.80,4.80,4.80,100,4.80,4.80,4.80,4.80,0,0,0
AME,20151105,4.40,4.40,4.40,4.40,100,4.40,4.40,4.40,4.40,0,0,0
AME,20151023,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
AME,20151021,3.90,3.90,3.90,3.90,300,3.90,3.90,3.90,3.90,0,0,0
AME,20151020,3.60,3.60,3.60,3.60,2000,3.60,3.60,3.60,3.60,0,0,0
AME,20151007,3.90,3.90,3.90,3.90,2500,3.90,3.90,3.90,3.90,0,0,0
AME,20150930,3.80,3.80,3.80,3.80,300,3.80,3.80,3.80,3.80,0,0,0
AME,20150928,3.90,4.00,3.90,4.00,2000,3.90,4.00,3.90,4.00,0,0,0
AME,20150924,3.90,3.90,3.90,3.90,3000,3.90,3.90,3.90,3.90,0,0,0
AME,20150921,4.00,4.00,4.00,4.00,1900,4.00,4.00,4.00,4.00,0,0,0
AME,20150918,3.90,3.90,3.90,3.90,300,3.90,3.90,3.90,3.90,0,0,0
AME,20150911,3.90,3.90,3.90,3.90,2400,3.90,3.90,3.90,3.90,0,0,0
AME,20150909,3.90,3.90,3.90,3.90,4600,3.90,3.90,3.90,3.90,0,0,0
AME,20150907,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20150903,3.90,3.90,3.90,3.90,600,3.90,3.90,3.90,3.90,0,0,0
AME,20150824,3.90,3.90,3.90,3.90,2000,3.90,3.90,3.90,3.90,0,0,0
AME,20150819,3.80,3.80,3.80,3.80,1300,3.80,3.80,3.80,3.80,0,0,0
AME,20150818,3.80,3.80,3.70,3.80,7400,3.80,3.80,3.70,3.80,0,0,0
AME,20150817,3.80,3.80,3.80,3.80,3000,3.80,3.80,3.80,3.80,0,0,0
AME,20150812,3.90,3.90,3.80,3.80,700,3.90,3.90,3.80,3.80,0,0,0
AME,20150805,3.90,3.90,3.90,3.90,700,3.90,3.90,3.90,3.90,0,0,0
AME,20150804,3.90,3.90,3.90,3.90,300,3.90,3.90,3.90,3.90,0,0,0
AME,20150730,3.90,3.90,3.90,3.90,2500,3.90,3.90,3.90,3.90,0,2500,0
AME,20150729,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20150728,3.90,3.90,3.90,3.90,1000,3.90,3.90,3.90,3.90,0,0,0
AME,20150727,3.90,3.90,3.90,3.90,2100,3.90,3.90,3.90,3.90,0,0,0
AME,20150724,3.90,3.90,3.90,3.90,1900,3.90,3.90,3.90,3.90,0,0,0
AME,20150720,3.90,3.90,3.90,3.90,2000,3.90,3.90,3.90,3.90,0,0,0
AME,20150714,4.00,4.00,4.00,4.00,700,4.00,4.00,4.00,4.00,0,0,0
AME,20150713,3.90,3.90,3.90,3.90,2500,3.90,3.90,3.90,3.90,0,0,0
AME,20150708,3.90,3.90,3.90,3.90,700,3.90,3.90,3.90,3.90,0,0,0
AME,20150706,3.90,3.90,3.90,3.90,1100,3.90,3.90,3.90,3.90,0,0,0
AME,20150701,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20150630,3.90,3.90,3.90,3.90,200,3.90,3.90,3.90,3.90,0,0,0
AME,20150629,3.80,4.00,3.80,4.00,1300,3.80,4.00,3.80,4.00,0,0,0
AME,20150626,3.90,4.00,3.90,4.00,4900,3.90,4.00,3.90,4.00,0,0,0
AME,20150624,4.30,4.30,4.30,4.30,200,4.30,4.30,4.30,4.30,0,0,0
AME,20150623,4.60,4.60,4.60,4.60,100,4.60,4.60,4.60,4.60,0,0,0
AME,20150622,4.00,4.40,3.80,4.40,5400,4.00,4.40,3.80,4.40,0,0,0
AME,20150619,4.00,4.00,4.00,4.00,1000,4.00,4.00,4.00,4.00,0,0,0
AME,20150618,3.80,4.00,3.80,4.00,3300,3.80,4.00,3.80,4.00,0,0,0
AME,20150617,3.80,4.00,3.80,4.00,12000,3.80,4.00,3.80,4.00,0,0,0
AME,20150616,4.00,4.00,4.00,4.00,1000,4.00,4.00,4.00,4.00,0,0,0
AME,20150615,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
AME,20150612,3.90,3.90,3.90,3.90,2900,3.90,3.90,3.90,3.90,0,300,0
AME,20150611,4.40,4.40,3.90,4.20,500,4.40,4.40,3.90,4.20,0,0,0
AME,20150609,3.90,4.10,3.90,4.10,3500,3.90,4.10,3.90,4.10,0,0,0
AME,20150602,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
AME,20150601,3.90,3.90,3.90,3.90,10000,3.90,3.90,3.90,3.90,0,0,0
AME,20150529,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
AME,20150526,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20150521,3.60,3.60,3.60,3.60,2300,3.60,3.60,3.60,3.60,0,0,0
AME,20150520,3.60,3.60,3.60,3.60,200,3.60,3.60,3.60,3.60,0,0,0
AME,20150514,3.60,3.60,3.60,3.60,300,3.60,3.60,3.60,3.60,0,300,0
AME,20150512,3.80,3.80,3.80,3.80,100,3.80,3.80,3.80,3.80,0,0,0
AME,20150511,3.60,3.60,3.60,3.60,1100,3.60,3.60,3.60,3.60,0,0,0
AME,20150508,3.80,3.80,3.80,3.80,300,3.80,3.80,3.80,3.80,0,0,0
AME,20150506,3.60,3.80,3.60,3.80,5100,3.60,3.80,3.60,3.80,0,0,0
AME,20150422,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20150420,3.60,3.60,3.60,3.60,1000,3.60,3.60,3.60,3.60,0,0,0
AME,20150408,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20150403,3.60,4.00,3.60,4.00,400,3.60,4.00,3.60,4.00,0,0,0
AME,20150401,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20150330,3.60,3.60,3.60,3.60,100,3.60,3.60,3.60,3.60,0,0,0
AME,20150326,3.60,3.60,3.60,3.60,2000,3.60,3.60,3.60,3.60,0,0,0
AME,20150325,3.70,3.70,3.70,3.70,800,3.70,3.70,3.70,3.70,0,0,0
AME,20150323,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20150317,3.70,3.70,3.70,3.70,1700,3.70,3.70,3.70,3.70,0,0,0
AME,20150316,3.70,3.70,3.70,3.70,2000,3.70,3.70,3.70,3.70,0,0,2000
AME,20150313,3.80,3.80,3.80,3.80,1000,3.80,3.80,3.80,3.80,0,0,0
AME,20150311,3.80,3.80,3.80,3.80,2300,3.80,3.80,3.80,3.80,0,0,0
AME,20150310,3.80,3.80,3.80,3.80,1700,3.80,3.80,3.80,3.80,0,0,0
AME,20150309,3.80,3.80,3.80,3.80,3700,3.80,3.80,3.80,3.80,0,0,0
AME,20150306,3.80,3.80,3.80,3.80,4700,3.80,3.80,3.80,3.80,0,0,0
AME,20150305,3.80,3.80,3.80,3.80,1500,3.80,3.80,3.80,3.80,0,0,0
AME,20150304,4.00,4.00,3.80,3.80,1400,4.00,4.00,3.80,3.80,0,0,500
AME,20150302,4.10,4.10,4.10,4.10,100,4.10,4.10,4.10,4.10,0,0,0
AME,20150227,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20150224,4.30,4.30,4.30,4.30,100,4.30,4.30,4.30,4.30,0,0,0
AME,20150210,4.00,4.00,4.00,4.00,500,4.00,4.00,4.00,4.00,0,0,0
AME,20150130,3.80,4.10,3.80,4.10,700,3.80,4.10,3.80,4.10,0,0,0
AME,20150128,3.80,3.90,3.80,3.90,2000,3.80,3.90,3.80,3.90,0,0,0
AME,20150127,3.80,3.80,3.80,3.80,100,3.80,3.80,3.80,3.80,0,0,0
AME,20150126,3.80,3.80,3.80,3.80,400,3.80,3.80,3.80,3.80,0,0,0
AME,20150123,3.80,3.80,3.80,3.80,200,3.80,3.80,3.80,3.80,0,0,0
AME,20150122,3.80,3.80,3.80,3.80,1000,3.80,3.80,3.80,3.80,0,0,0
AME,20150120,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
AME,20150119,3.80,3.80,3.80,3.80,200,3.80,3.80,3.80,3.80,0,0,0
AME,20150115,3.70,3.80,3.70,3.80,400,3.70,3.80,3.70,3.80,0,0,0
AME,20150114,3.70,3.70,3.70,3.70,100,3.70,3.70,3.70,3.70,0,0,0
AME,20150112,4.00,4.00,4.00,4.00,200,4.00,4.00,4.00,4.00,0,0,0
AME,20150107,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
AME,20150105,3.70,3.70,3.70,3.70,4200,3.70,3.70,3.70,3.70,0,0,0
AME,20141231,3.90,3.90,3.90,3.90,200,3.90,3.90,3.90,3.90,0,0,0
AME,20141229,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
AME,20141218,4.30,4.30,4.30,4.30,100,4.30,4.30,4.30,4.30,0,0,0
AME,20141216,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
AME,20141215,3.80,4.00,3.80,4.00,3300,3.80,4.00,3.80,4.00,0,0,0
AME,20141211,3.70,3.70,3.70,3.70,100,3.70,3.70,3.70,3.70,0,0,0
AME,20141210,3.70,3.80,3.70,3.80,600,3.70,3.80,3.70,3.80,0,0,0
AME,20141209,3.90,3.90,3.80,3.80,3700,3.90,3.90,3.80,3.80,0,0,0
AME,20141205,3.80,4.00,3.80,4.00,300,3.80,4.00,3.80,4.00,0,0,0
AME,20141127,3.90,4.00,3.90,4.00,300,3.90,4.00,3.90,4.00,0,0,100
AME,20141125,4.00,4.00,3.90,4.00,400,4.00,4.00,3.90,4.00,0,0,0
AME,20141121,4.00,4.00,4.00,4.00,400,4.00,4.00,4.00,4.00,0,0,0
AME,20141118,4.40,4.40,4.40,4.40,700,4.40,4.40,4.40,4.40,0,0,0
AME,20141117,4.20,4.40,4.20,4.40,600,4.20,4.40,4.20,4.40,0,0,0
AME,20141114,4.60,4.60,4.60,4.60,100,4.60,4.60,4.60,4.60,0,0,0
AME,20141103,4.40,4.40,4.40,4.40,100,4.40,4.40,4.40,4.40,0,0,0
AME,20141030,4.00,4.20,4.00,4.20,300,4.00,4.20,4.00,4.20,0,0,0
AME,20141028,4.20,4.20,4.20,4.20,200,4.20,4.20,4.20,4.20,0,0,0
AME,20141027,3.90,3.90,3.90,3.90,1000,3.90,3.90,3.90,3.90,0,0,0
AME,20141021,4.10,4.10,4.10,4.10,2000,4.10,4.10,4.10,4.10,0,0,0
AME,20141020,4.40,4.40,4.40,4.40,100,4.40,4.40,4.40,4.40,0,0,0
AME,20141016,4.00,4.10,4.00,4.00,1300,4.00,4.10,4.00,4.00,0,0,0
AME,20141010,4.40,4.40,4.40,4.40,800,4.40,4.40,4.40,4.40,0,0,0
