<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ANT,20170626,12.33,12.33,12.33,12.33,600,13.00,13.00,13.00,13.00,0,0,0
ANT,20170620,12.33,12.33,12.33,12.33,300,13.00,13.00,13.00,13.00,0,0,0
ANT,20170616,12.33,12.33,12.33,12.33,1400,13.00,13.00,13.00,13.00,0,0,0
ANT,20170614,12.24,12.33,12.24,12.33,5700,12.90,13.00,12.90,13.00,0,0,0
ANT,20170613,12.33,12.33,12.33,12.33,2500,13.00,13.00,13.00,13.00,0,0,0
ANT,20170612,12.33,12.80,12.33,12.80,5500,13.00,13.50,13.00,13.50,0,0,0
ANT,20170609,12.71,12.80,11.00,11.00,17300,13.40,13.50,11.60,11.60,0,0,0
ANT,20170608,12.71,12.71,12.71,12.71,300,13.40,13.40,13.40,13.40,0,0,0
ANT,20170607,12.80,12.89,12.80,12.90,16300,13.50,13.60,13.50,13.60,0,0,0
ANT,20170606,12.80,12.80,12.80,12.80,26000,13.50,13.50,13.50,13.50,0,0,0
ANT,20170605,12.81,12.81,12.81,12.80,6900,13.50,13.50,13.50,13.50,0,0,0
ANT,20170601,12.43,12.43,12.43,12.43,3000,13.10,13.10,13.10,13.10,0,0,0
ANT,20170530,12.43,12.43,12.43,12.43,15000,13.10,13.10,13.10,13.10,0,0,0
ANT,20170526,12.89,12.89,12.89,12.90,4900,13.60,13.60,13.60,13.60,0,0,0
ANT,20170518,12.80,12.80,12.80,12.80,13000,13.50,13.50,13.50,13.50,0,0,0
ANT,20170517,12.80,12.80,12.80,12.80,22000,13.50,13.50,13.50,13.50,0,0,0
ANT,20170516,12.33,12.80,12.33,12.80,5600,13.00,13.50,13.00,13.50,0,0,0
ANT,20170515,12.80,12.80,12.33,12.33,9000,13.50,13.50,13.00,13.00,0,0,0
ANT,20170510,12.52,12.80,12.52,12.80,5400,13.20,13.50,13.20,13.50,0,0,0
ANT,20170509,12.34,12.52,12.34,12.52,16100,13.00,13.20,13.00,13.20,0,0,0
ANT,20170505,10.91,12.52,10.91,12.52,26400,11.50,13.20,11.50,13.20,0,0,0
ANT,20170504,12.52,12.52,12.52,12.52,200,13.20,13.20,13.20,13.20,0,0,0
ANT,20170425,12.14,12.43,12.14,12.33,32600,12.80,13.10,12.80,13.00,0,0,0
ANT,20170424,11.85,11.85,11.85,11.86,2000,12.50,12.50,12.50,12.50,0,0,0
ANT,20170417,11.00,11.38,10.43,10.81,66900,11.60,12.00,11.00,11.40,0,0,0
ANT,20170414,10.81,10.81,10.81,10.81,1100,11.40,11.40,11.40,11.40,0,0,0
ANT,20170413,11.10,11.19,10.81,10.81,13500,11.70,11.80,11.40,11.40,0,0,0
ANT,20170412,11.39,11.39,11.39,11.38,3000,12.00,12.00,12.00,12.00,0,0,0
ANT,20170411,11.85,11.85,11.85,11.86,3500,12.50,12.50,12.50,12.50,0,0,0
ANT,20170407,11.48,11.86,11.48,11.86,500,12.10,12.50,12.10,12.50,0,0,0
ANT,20170405,11.29,11.29,11.29,11.29,100,11.90,11.90,11.90,11.90,0,0,0
ANT,20170404,13.28,13.28,13.28,13.28,300,14.00,14.00,14.00,14.00,0,0,0
ANT,20170331,13.28,13.28,13.28,13.28,1040,14.00,14.00,14.00,14.00,2800,0,1000
ANT,20170324,12.33,12.33,12.33,12.33,700,13.00,13.00,13.00,13.00,0,0,0
ANT,20170323,12.33,12.33,12.33,12.33,2200,13.00,13.00,13.00,13.00,0,0,0
ANT,20170322,12.33,12.33,12.33,12.33,7000,13.00,13.00,13.00,13.00,0,0,0
ANT,20170321,12.33,12.33,12.33,12.33,20500,13.00,13.00,13.00,13.00,0,0,0
ANT,20170320,12.33,12.33,12.33,12.33,5000,13.00,13.00,13.00,13.00,0,0,0
ANT,20170317,12.33,12.33,12.33,12.33,1600,13.00,13.00,13.00,13.00,0,0,0
ANT,20170316,12.33,12.33,12.33,12.33,4500,13.00,13.00,13.00,13.00,0,300,0
ANT,20170315,12.33,12.33,12.33,12.33,6600,13.00,13.00,13.00,13.00,0,0,0
ANT,20170314,12.33,12.33,12.33,12.33,7400,13.00,13.00,13.00,13.00,0,0,0
ANT,20170313,12.33,12.33,12.33,12.33,31800,13.00,13.00,13.00,13.00,0,0,0
ANT,20170308,13.28,13.28,13.28,13.28,100,14.00,14.00,14.00,14.00,0,0,0
ANT,20170307,12.71,12.71,12.71,12.71,2050,13.40,13.40,13.40,13.40,0,0,0
ANT,20170306,12.52,12.52,12.52,12.52,1200,13.20,13.20,13.20,13.20,0,0,0
ANT,20170303,12.71,12.71,12.71,12.71,4000,13.40,13.40,13.40,13.40,0,0,0
ANT,20170301,12.80,12.80,12.80,12.80,2100,13.50,13.50,13.50,13.50,0,0,0
ANT,20170221,12.81,12.81,12.81,12.80,600,13.50,13.50,13.50,13.50,0,0,0
ANT,20170220,13.27,13.27,13.27,13.28,5100,14.00,14.00,14.00,14.00,0,0,0
ANT,20170217,12.80,12.80,12.80,12.80,200,13.50,13.50,13.50,13.50,0,0,0
ANT,20170210,12.81,12.81,12.81,12.80,500,13.50,13.50,13.50,13.50,0,0,0
ANT,20170207,13.28,13.28,13.28,13.28,200,14.00,14.00,14.00,14.00,0,0,0
ANT,20170206,13.28,14.23,13.28,14.23,3000,14.00,15.00,14.00,15.00,0,0,0
ANT,20170202,13.28,13.28,13.28,13.28,300,14.00,14.00,14.00,14.00,0,0,0
ANT,20170125,13.76,13.85,13.76,13.85,8000,14.50,14.60,14.50,14.60,0,0,0
ANT,20170111,14.23,14.23,14.23,14.23,2000,15.00,15.00,15.00,15.00,0,0,0
ANT,20170104,14.23,14.23,14.23,14.23,300,15.00,15.00,15.00,15.00,9000,0,0
ANT,20161230,15.18,15.18,15.18,15.18,1000,16.00,16.00,16.00,16.00,0,0,0
ANT,20161229,14.23,15.18,14.23,15.18,600,15.00,16.00,15.00,16.00,0,0,0
ANT,20161228,15.27,15.27,13.75,15.18,4400,16.10,16.10,14.50,16.00,0,1000,0
ANT,20161227,16.12,16.12,16.12,16.12,800,17.00,17.00,17.00,17.00,0,0,0
ANT,20161226,18.97,18.97,18.97,18.97,3700,20.00,20.00,20.00,20.00,0,0,0
ANT,20161223,17.55,17.55,17.55,17.55,4700,18.50,18.50,18.50,18.50,0,0,0
ANT,20161222,15.27,15.27,15.27,15.27,11000,16.10,16.10,16.10,16.10,0,0,0
