<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ASIAGF,20141229,10.80,10.80,10.80,10.80,300,10.80,10.80,10.80,10.80,0,0,300
ASIAGF,20141226,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,100
ASIAGF,20141224,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
ASIAGF,20141223,11.20,11.20,11.20,11.20,60,11.20,11.20,11.20,11.20,0,0,0
ASIAGF,20141113,10.60,10.60,10.60,10.60,500,10.60,10.60,10.60,10.60,0,0,0
ASIAGF,20141112,10.70,10.70,10.60,10.60,2100,10.70,10.70,10.60,10.60,0,0,0
ASIAGF,20141111,10.80,10.90,10.80,10.80,2000,10.80,10.90,10.80,10.80,0,0,1600
ASIAGF,20141104,11.00,11.60,11.00,11.60,510,11.00,11.60,11.00,11.60,0,0,0
ASIAGF,20141103,11.00,11.00,11.00,11.00,10,11.00,11.00,11.00,11.00,0,0,0
ASIAGF,20141031,10.20,10.50,10.20,10.50,1010,10.20,10.50,10.20,10.50,0,0,0
ASIAGF,20141030,10.20,10.40,10.20,10.40,30,10.20,10.40,10.20,10.40,0,0,0
ASIAGF,20141027,10.30,10.30,10.30,10.30,20,10.30,10.30,10.30,10.30,0,0,0
ASIAGF,20141022,10.20,10.20,10.20,10.20,1000,10.20,10.20,10.20,10.20,0,0,0
ASIAGF,20141020,10.20,10.30,10.20,10.30,1050,10.20,10.30,10.20,10.30,0,0,0
ASIAGF,20141015,10.30,10.30,10.30,10.30,100,10.30,10.30,10.30,10.30,0,0,0
ASIAGF,20141014,11.00,11.00,10.90,11.00,100,11.00,11.00,10.90,11.00,0,0,0
ASIAGF,20141013,10.20,10.50,10.20,10.50,100,10.20,10.50,10.20,10.50,0,0,0
ASIAGF,20141009,10.30,10.30,10.30,10.30,40,10.30,10.30,10.30,10.30,0,0,0
ASIAGF,20141008,10.20,10.30,10.20,10.30,4790,10.20,10.30,10.20,10.30,0,0,0
ASIAGF,20141007,10.20,10.20,10.20,10.20,210,10.20,10.20,10.20,10.20,0,0,0
ASIAGF,20141006,10.20,10.20,10.20,10.20,40,10.20,10.20,10.20,10.20,0,0,0
ASIAGF,20141002,10.20,10.20,10.20,10.20,40,10.20,10.20,10.20,10.20,0,0,0
ASIAGF,20141001,9.40,10.10,9.40,10.10,30,9.40,10.10,9.40,10.10,0,0,0
ASIAGF,20140930,9.20,10.10,9.20,10.00,1110,9.20,10.10,9.20,10.00,0,0,0
ASIAGF,20140925,8.60,9.80,8.60,9.80,820,8.60,9.80,8.60,9.80,0,0,0
ASIAGF,20140918,9.20,9.20,9.20,9.20,240,9.20,9.20,9.20,9.20,0,0,0
ASIAGF,20140909,9.20,9.80,8.60,9.80,2100,9.20,9.80,8.60,9.80,0,700,0
ASIAGF,20140908,9.20,9.20,9.20,9.20,1000,9.20,9.20,9.20,9.20,0,0,0
ASIAGF,20140903,9.20,9.20,9.20,9.20,10,9.20,9.20,9.20,9.20,0,0,0
ASIAGF,20140829,9.70,9.70,9.10,9.10,20,9.70,9.70,9.10,9.10,0,0,0
ASIAGF,20140828,9.10,9.10,9.10,9.10,10,9.10,9.10,9.10,9.10,0,0,0
ASIAGF,20140827,9.00,9.00,9.00,9.00,10,9.00,9.00,9.00,9.00,0,0,0
ASIAGF,20140826,8.60,8.60,8.50,8.50,1010,8.60,8.60,8.50,8.50,0,900,0
ASIAGF,20140825,9.30,9.30,8.80,8.80,30,9.30,9.30,8.80,8.80,0,0,0
ASIAGF,20140822,8.70,8.70,8.70,8.70,10,8.70,8.70,8.70,8.70,0,0,0
ASIAGF,20140820,8.10,9.30,8.10,9.30,1020,8.10,9.30,8.10,9.30,0,0,0
ASIAGF,20140819,9.30,9.30,8.70,8.70,1000,9.30,9.30,8.70,8.70,0,0,0
ASIAGF,20140818,9.30,9.30,9.30,9.30,10,9.30,9.30,9.30,9.30,0,0,10
