<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BAM,20160422,1.80,1.80,1.80,1.80,10300,1.80,1.80,1.80,1.80,4,0,0
BAM,20160415,1.90,2.00,1.90,2.00,311220,1.90,2.00,1.90,2.00,0,0,0
BAM,20160414,1.90,2.00,1.80,2.00,470100,1.90,2.00,1.80,2.00,0,1000,0
BAM,20160413,1.80,2.00,1.80,1.90,907300,1.80,2.00,1.80,1.90,0,0,0
BAM,20160412,2.10,2.20,2.00,2.00,988100,2.10,2.20,2.00,2.00,0,35000,0
BAM,20160411,2.10,2.20,2.00,2.20,797400,2.10,2.20,2.00,2.20,0,0,0
BAM,20160408,2.10,2.10,1.90,2.00,425000,2.10,2.10,1.90,2.00,0,3000,0
BAM,20160407,2.00,2.00,1.90,2.00,1451300,2.00,2.00,1.90,2.00,0,2000,0
BAM,20160406,1.80,1.90,1.80,1.90,580326,1.80,1.90,1.80,1.90,0,0,0
BAM,20160405,1.80,1.90,1.80,1.80,1188300,1.80,1.90,1.80,1.80,0,0,3000
BAM,20160404,1.90,2.00,1.90,1.90,1772410,1.90,2.00,1.90,1.90,0,0,0
BAM,20160401,2.20,2.30,2.10,2.10,843230,2.20,2.30,2.10,2.10,0,0,0
BAM,20160331,2.70,2.70,2.30,2.30,2586163,2.70,2.70,2.30,2.30,0,20000,0
BAM,20160330,2.40,2.50,2.40,2.50,733500,2.40,2.50,2.40,2.50,0,0,800
BAM,20160329,2.20,2.30,2.10,2.30,1938460,2.20,2.30,2.10,2.30,0,0,0
BAM,20160328,2.00,2.20,1.90,2.10,1448700,2.00,2.20,1.90,2.10,0,300,0
BAM,20160325,2.00,2.10,1.90,2.00,1196920,2.00,2.10,1.90,2.00,0,0,30000
BAM,20160324,2.00,2.00,1.90,2.00,2332400,2.00,2.00,1.90,2.00,0,0,0
BAM,20160323,1.90,1.90,1.90,1.90,821800,1.90,1.90,1.90,1.90,0,0,0
BAM,20160322,1.70,1.80,1.70,1.80,1181470,1.70,1.80,1.70,1.80,0,30000,0
BAM,20160321,1.70,1.80,1.60,1.70,927700,1.70,1.80,1.60,1.70,0,0,10000
BAM,20160318,1.80,1.80,1.60,1.70,299200,1.80,1.80,1.60,1.70,0,0,0
BAM,20160317,1.70,1.80,1.70,1.70,1025100,1.70,1.80,1.70,1.70,0,0,0
BAM,20160316,1.60,1.70,1.60,1.70,1309900,1.60,1.70,1.60,1.70,0,10000,0
BAM,20160315,1.60,1.70,1.60,1.60,473000,1.60,1.70,1.60,1.60,0,0,0
BAM,20160314,1.70,1.70,1.60,1.60,1347400,1.70,1.70,1.60,1.60,0,0,329500
BAM,20160311,1.60,1.70,1.60,1.70,245600,1.60,1.70,1.60,1.70,0,0,2400
BAM,20160310,1.70,1.80,1.70,1.70,679930,1.70,1.80,1.70,1.70,0,300,8100
BAM,20160309,1.70,1.80,1.60,1.80,655030,1.70,1.80,1.60,1.80,0,100,0
BAM,20160308,1.80,1.80,1.70,1.70,1252340,1.80,1.80,1.70,1.70,0,110000,4000
BAM,20160307,1.50,1.70,1.50,1.70,1402530,1.50,1.70,1.50,1.70,0,230000,3000
BAM,20160304,1.60,1.70,1.60,1.60,1279110,1.60,1.70,1.60,1.60,0,0,0
BAM,20160303,1.70,1.80,1.60,1.70,551830,1.70,1.80,1.60,1.70,0,4000,0
BAM,20160302,1.80,1.80,1.60,1.70,2612700,1.80,1.80,1.60,1.70,0,0,20000
BAM,20160301,1.70,1.70,1.70,1.70,166204,1.70,1.70,1.70,1.70,0,0,0
BAM,20160229,1.60,1.60,1.60,1.60,325133,1.60,1.60,1.60,1.60,0,0,1000
BAM,20160226,1.40,1.50,1.40,1.50,471240,1.40,1.50,1.40,1.50,0,0,0
BAM,20160225,1.60,1.60,1.40,1.40,766314,1.60,1.60,1.40,1.40,0,0,0
BAM,20160224,1.50,1.50,1.40,1.50,735103,1.50,1.50,1.40,1.50,10000,0,0
BAM,20160223,1.40,1.40,1.40,1.40,651200,1.40,1.40,1.40,1.40,0,0,1000
BAM,20160222,1.20,1.30,1.20,1.30,471470,1.20,1.30,1.20,1.30,0,0,0
BAM,20160219,1.20,1.30,1.20,1.20,33900,1.20,1.30,1.20,1.20,0,0,0
BAM,20160218,1.20,1.30,1.20,1.30,57400,1.20,1.30,1.20,1.30,0,0,0
BAM,20160217,1.20,1.30,1.20,1.20,236800,1.20,1.30,1.20,1.20,0,0,0
BAM,20160216,1.30,1.30,1.20,1.30,5300,1.30,1.30,1.20,1.30,0,0,0
BAM,20160215,1.30,1.30,1.20,1.30,31300,1.30,1.30,1.20,1.30,0,0,0
BAM,20160205,1.30,1.30,1.30,1.30,5400,1.30,1.30,1.30,1.30,0,0,0
BAM,20160204,1.20,1.30,1.20,1.30,76300,1.20,1.30,1.20,1.30,0,0,0
BAM,20160203,1.20,1.20,1.20,1.20,191700,1.20,1.20,1.20,1.20,0,0,0
BAM,20160202,1.20,1.20,1.10,1.20,30400,1.20,1.20,1.10,1.20,0,3000,1000
BAM,20160201,1.30,1.30,1.10,1.20,134600,1.30,1.30,1.10,1.20,0,1000,0
BAM,20160129,1.20,1.30,1.10,1.20,126000,1.20,1.30,1.10,1.20,0,0,0
BAM,20160128,1.20,1.20,1.20,1.20,104500,1.20,1.20,1.20,1.20,0,0,0
BAM,20160127,1.20,1.30,1.20,1.20,161920,1.20,1.30,1.20,1.20,0,0,0
BAM,20160126,1.30,1.30,1.20,1.30,253900,1.30,1.30,1.20,1.30,0,20000,0
BAM,20160125,1.20,1.30,1.20,1.30,268500,1.20,1.30,1.20,1.30,0,0,0
BAM,20160122,1.20,1.30,1.10,1.30,199900,1.20,1.30,1.10,1.30,0,0,45000
BAM,20160121,1.20,1.20,1.10,1.20,219410,1.20,1.20,1.10,1.20,0,0,104700
BAM,20160120,1.30,1.30,1.20,1.20,96900,1.30,1.30,1.20,1.20,0,0,0
BAM,20160119,1.20,1.30,1.20,1.30,62300,1.20,1.30,1.20,1.30,0,0,0
BAM,20160118,1.20,1.20,1.20,1.20,446400,1.20,1.20,1.20,1.20,0,0,35300
BAM,20160115,1.40,1.40,1.20,1.30,74700,1.40,1.40,1.20,1.30,0,0,13500
BAM,20160114,1.30,1.40,1.20,1.30,232000,1.30,1.40,1.20,1.30,0,1000,0
BAM,20160113,1.40,1.40,1.30,1.30,144600,1.40,1.40,1.30,1.30,0,0,0
BAM,20160112,1.30,1.40,1.30,1.40,76100,1.30,1.40,1.30,1.40,0,0,0
BAM,20160111,1.40,1.40,1.30,1.40,12400,1.40,1.40,1.30,1.40,0,0,1000
BAM,20160108,1.40,1.40,1.30,1.40,312700,1.40,1.40,1.30,1.40,0,800,0
BAM,20160107,1.40,1.50,1.40,1.40,195800,1.40,1.50,1.40,1.40,0,0,0
BAM,20160106,1.40,1.50,1.30,1.50,94700,1.40,1.50,1.30,1.50,0,0,15000
BAM,20160105,1.40,1.50,1.40,1.40,182400,1.40,1.50,1.40,1.40,0,0,0
BAM,20160104,1.40,1.50,1.40,1.40,163400,1.40,1.50,1.40,1.40,0,0,0
BAM,20151231,1.40,1.50,1.40,1.40,69600,1.40,1.50,1.40,1.40,0,0,0
BAM,20151230,1.50,1.50,1.40,1.40,64400,1.50,1.50,1.40,1.40,0,0,0
BAM,20151229,1.40,1.50,1.40,1.50,200400,1.40,1.50,1.40,1.50,0,0,0
BAM,20151228,1.50,1.50,1.40,1.40,115900,1.50,1.50,1.40,1.40,0,0,0
BAM,20151225,1.40,1.50,1.40,1.40,196200,1.40,1.50,1.40,1.40,0,0,120000
BAM,20151224,1.50,1.50,1.40,1.40,80060,1.50,1.50,1.40,1.40,0,0,0
BAM,20151223,1.50,1.50,1.40,1.50,27400,1.50,1.50,1.40,1.50,0,0,10000
BAM,20151222,1.40,1.50,1.40,1.50,33400,1.40,1.50,1.40,1.50,0,0,0
BAM,20151221,1.50,1.50,1.40,1.40,53815,1.50,1.50,1.40,1.40,0,0,0
BAM,20151218,1.50,1.50,1.40,1.50,71300,1.50,1.50,1.40,1.50,0,5000,0
BAM,20151217,1.60,1.60,1.50,1.50,285500,1.60,1.60,1.50,1.50,0,0,1000
BAM,20151216,1.50,1.60,1.50,1.60,41000,1.50,1.60,1.50,1.60,0,0,0
BAM,20151215,1.50,1.60,1.50,1.50,234300,1.50,1.60,1.50,1.50,0,0,0
BAM,20151214,1.50,1.60,1.40,1.50,87950,1.50,1.60,1.40,1.50,0,0,0
BAM,20151211,1.60,1.60,1.50,1.50,455000,1.60,1.60,1.50,1.50,0,8000,0
BAM,20151210,1.60,1.60,1.50,1.60,191700,1.60,1.60,1.50,1.60,0,5000,0
BAM,20151209,1.60,1.70,1.60,1.60,109400,1.60,1.70,1.60,1.60,0,0,0
BAM,20151208,1.60,1.70,1.60,1.60,256700,1.60,1.70,1.60,1.60,0,0,0
BAM,20151207,1.70,1.70,1.60,1.70,246600,1.70,1.70,1.60,1.70,0,0,0
BAM,20151204,1.60,1.70,1.50,1.70,239400,1.60,1.70,1.50,1.70,0,3000,0
BAM,20151203,1.70,1.70,1.50,1.60,399494,1.70,1.70,1.50,1.60,0,0,0
BAM,20151202,1.60,1.60,1.50,1.60,322600,1.60,1.60,1.50,1.60,0,10000,0
BAM,20151201,1.60,1.70,1.50,1.50,388600,1.60,1.70,1.50,1.50,0,37500,0
BAM,20151130,1.60,1.70,1.50,1.60,416700,1.60,1.70,1.50,1.60,0,0,0
BAM,20151127,1.70,1.80,1.60,1.60,1215472,1.70,1.80,1.60,1.60,0,60000,0
BAM,20151126,1.70,1.70,1.70,1.70,161543,1.70,1.70,1.70,1.70,0,30000,0
BAM,20151125,1.50,1.60,1.50,1.60,352300,1.50,1.60,1.50,1.60,0,40000,0
BAM,20151124,1.60,1.60,1.50,1.50,388859,1.60,1.60,1.50,1.50,0,0,1000
BAM,20151123,1.50,1.60,1.50,1.60,278900,1.50,1.60,1.50,1.60,0,30000,1000
BAM,20151120,1.50,1.50,1.40,1.50,587202,1.50,1.50,1.40,1.50,0,20000,0
BAM,20151119,1.50,1.50,1.40,1.50,171320,1.50,1.50,1.40,1.50,0,0,0
BAM,20151118,1.50,1.50,1.40,1.50,265109,1.50,1.50,1.40,1.50,0,0,0
BAM,20151117,1.50,1.60,1.40,1.50,252600,1.50,1.60,1.40,1.50,0,0,0
BAM,20151116,1.60,1.60,1.50,1.50,733103,1.60,1.60,1.50,1.50,0,0,30000
BAM,20151113,1.50,1.60,1.50,1.60,980500,1.50,1.60,1.50,1.60,0,0,0
BAM,20151112,1.50,1.60,1.50,1.50,395000,1.50,1.60,1.50,1.50,0,0,0
BAM,20151111,1.70,1.70,1.60,1.60,895000,1.70,1.70,1.60,1.60,0,30000,0
BAM,20151110,1.80,1.80,1.70,1.70,1907840,1.80,1.80,1.70,1.70,0,30000,0
BAM,20151109,1.70,1.70,1.70,1.70,519855,1.70,1.70,1.70,1.70,0,0,0
BAM,20151106,1.60,1.60,1.60,1.60,1054480,1.60,1.60,1.60,1.60,0,70000,0
BAM,20151105,1.50,1.50,1.50,1.50,629830,1.50,1.50,1.50,1.50,0,0,0
BAM,20151104,1.30,1.40,1.20,1.40,1117820,1.30,1.40,1.20,1.40,0,0,1000
BAM,20151103,1.30,1.40,1.30,1.30,443200,1.30,1.40,1.30,1.30,0,1000,0
BAM,20151102,1.30,1.40,1.30,1.40,356910,1.30,1.40,1.30,1.40,0,0,0
BAM,20151030,1.40,1.40,1.30,1.30,249400,1.40,1.40,1.30,1.30,0,0,1000
BAM,20151029,1.10,1.30,1.10,1.30,754255,1.10,1.30,1.10,1.30,0,0,0
BAM,20151028,1.30,1.30,1.20,1.20,743210,1.30,1.30,1.20,1.20,0,0,100
BAM,20151027,1.30,1.30,1.30,1.30,195900,1.30,1.30,1.30,1.30,0,0,0
BAM,20151026,1.30,1.40,1.20,1.40,293300,1.30,1.40,1.20,1.40,0,0,0
BAM,20151023,1.30,1.40,1.30,1.30,582400,1.30,1.40,1.30,1.30,0,0,0
BAM,20151022,1.30,1.40,1.30,1.40,239600,1.30,1.40,1.30,1.40,0,0,0
BAM,20151021,1.40,1.40,1.30,1.40,78200,1.40,1.40,1.30,1.40,0,1000,0
BAM,20151020,1.40,1.40,1.30,1.40,246500,1.40,1.40,1.30,1.40,0,0,1000
BAM,20151019,1.40,1.50,1.30,1.40,162500,1.40,1.50,1.30,1.40,0,800,0
BAM,20151016,1.40,1.40,1.30,1.40,127500,1.40,1.40,1.30,1.40,0,0,0
BAM,20151015,1.50,1.50,1.40,1.40,217101,1.50,1.50,1.40,1.40,0,2000,0
BAM,20151014,1.40,1.50,1.40,1.50,135400,1.40,1.50,1.40,1.50,0,0,0
BAM,20151013,1.40,1.50,1.40,1.40,277900,1.40,1.50,1.40,1.40,0,0,0
BAM,20151012,1.40,1.50,1.40,1.40,193600,1.40,1.50,1.40,1.40,0,0,0
BAM,20151009,1.50,1.60,1.40,1.40,251900,1.50,1.60,1.40,1.40,0,0,2000
BAM,20151008,1.40,1.60,1.40,1.50,243800,1.40,1.60,1.40,1.50,0,0,0
BAM,20151007,1.60,1.60,1.50,1.50,299000,1.60,1.60,1.50,1.50,0,0,0
BAM,20151006,1.50,1.60,1.50,1.60,167400,1.50,1.60,1.50,1.60,0,0,0
BAM,20151005,1.50,1.60,1.40,1.50,207600,1.50,1.60,1.40,1.50,0,0,5000
BAM,20151002,1.50,1.60,1.50,1.50,191200,1.50,1.60,1.50,1.50,0,0,0
BAM,20151001,1.60,1.60,1.50,1.60,12900,1.60,1.60,1.50,1.60,0,0,0
BAM,20150930,1.50,1.60,1.50,1.60,255739,1.50,1.60,1.50,1.60,0,700,0
BAM,20150929,1.60,1.70,1.50,1.50,401000,1.60,1.70,1.50,1.50,0,0,0
BAM,20150928,1.70,1.70,1.60,1.60,326700,1.70,1.70,1.60,1.60,0,600,0
BAM,20150925,1.70,1.70,1.60,1.70,44304,1.70,1.70,1.60,1.70,0,0,0
BAM,20150924,1.60,1.70,1.60,1.60,375405,1.60,1.70,1.60,1.60,0,600,0
BAM,20150923,1.60,1.80,1.60,1.60,468500,1.60,1.80,1.60,1.60,0,0,0
BAM,20150922,1.70,1.80,1.70,1.70,570340,1.70,1.80,1.70,1.70,0,800,0
BAM,20150921,1.80,1.90,1.80,1.80,379800,1.80,1.90,1.80,1.80,0,0,0
BAM,20150918,1.80,1.90,1.70,1.90,212100,1.80,1.90,1.70,1.90,0,0,0
BAM,20150917,1.80,1.80,1.70,1.80,79400,1.80,1.80,1.70,1.80,0,0,0
BAM,20150916,1.80,1.90,1.80,1.80,140500,1.80,1.90,1.80,1.80,0,0,0
BAM,20150915,1.80,1.90,1.70,1.80,87100,1.80,1.90,1.70,1.80,0,0,0
BAM,20150914,1.80,1.90,1.80,1.80,412000,1.80,1.90,1.80,1.80,0,0,0
BAM,20150911,1.90,1.90,1.80,1.80,90800,1.90,1.90,1.80,1.80,0,1000,0
BAM,20150910,1.80,1.90,1.80,1.90,331400,1.80,1.90,1.80,1.90,0,0,0
BAM,20150909,1.90,1.90,1.80,1.90,205400,1.90,1.90,1.80,1.90,0,0,700
BAM,20150908,1.80,1.90,1.80,1.80,389400,1.80,1.90,1.80,1.80,0,0,0
BAM,20150907,1.90,1.90,1.80,1.90,291300,1.90,1.90,1.80,1.90,0,0,0
BAM,20150904,1.80,1.90,1.80,1.90,118800,1.80,1.90,1.80,1.90,0,800,0
BAM,20150903,1.90,2.00,1.80,1.80,272000,1.90,2.00,1.80,1.80,0,0,0
BAM,20150901,1.90,2.00,1.80,1.90,312000,1.90,2.00,1.80,1.90,0,0,0
