<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BFC,20170627,41.10,41.70,40.80,41.10,127220,41.10,41.70,40.80,41.10,0,0,1000
BFC,20170626,42.80,42.80,41.00,41.10,260580,42.80,42.80,41.00,41.10,0,0,1000
BFC,20170623,42.30,42.90,41.70,42.80,96280,42.30,42.90,41.70,42.80,0,0,180
BFC,20170622,42.00,42.30,41.50,42.30,133320,42.00,42.30,41.50,42.30,0,0,0
BFC,20170621,43.60,43.60,40.50,42.50,270730,43.60,43.60,40.50,42.50,50000,0,60
BFC,20170620,42.50,43.50,42.50,43.50,167430,42.50,43.50,42.50,43.50,0,2550,2100
BFC,20170619,41.70,42.50,41.50,42.50,164970,41.70,42.50,41.50,42.50,0,44550,0
BFC,20170616,41.30,41.95,41.30,41.70,174580,41.30,41.95,41.30,41.70,0,82500,0
BFC,20170615,41.30,41.70,41.25,41.50,65820,41.30,41.70,41.25,41.50,0,0,0
BFC,20170614,41.10,41.85,41.00,41.65,251240,41.10,41.85,41.00,41.65,0,4000,0
BFC,20170613,41.25,41.40,41.00,41.30,119380,41.25,41.40,41.00,41.30,0,0,0
BFC,20170612,41.00,41.45,41.00,41.25,137200,41.00,41.45,41.00,41.25,0,50000,35300
BFC,20170609,41.00,41.30,40.95,41.10,171690,41.00,41.30,40.95,41.10,0,0,0
BFC,20170608,40.12,40.95,40.12,40.80,192940,41.10,41.95,41.10,41.80,0,50000,0
BFC,20170607,40.02,40.80,39.82,40.12,207480,41.00,41.80,40.80,41.10,0,0,0
BFC,20170606,40.02,40.46,39.87,40.02,180890,41.00,41.45,40.85,41.00,0,0,0
BFC,20170605,40.02,40.46,39.72,40.02,129790,41.00,41.45,40.70,41.00,0,0,0
BFC,20170602,40.02,40.36,39.73,40.26,255540,41.00,41.35,40.70,41.25,0,60010,0
BFC,20170601,40.41,41.19,39.92,40.46,242000,41.40,42.20,40.90,41.45,0,670,0
BFC,20170531,39.53,40.95,39.24,40.46,349010,40.50,41.95,40.20,41.45,0,40000,20000
BFC,20170530,39.73,40.41,39.34,39.53,434940,40.70,41.40,40.30,40.50,0,100100,2880
BFC,20170529,40.02,40.12,39.53,39.73,248430,41.00,41.10,40.50,40.70,0,0,5000
BFC,20170526,40.51,40.51,39.53,40.02,436900,41.50,41.50,40.50,41.00,0,138470,0
BFC,20170525,39.33,40.46,39.24,40.02,552110,40.30,41.45,40.20,41.00,0,100200,0
BFC,20170524,38.70,39.43,38.55,39.04,317820,39.65,40.40,39.50,40.00,0,32280,0
BFC,20170523,37.92,39.05,37.87,38.70,267600,38.85,40.00,38.80,39.65,0,100820,1650
BFC,20170522,37.68,38.80,37.68,38.07,546100,38.60,39.75,38.60,39.00,0,225000,250
BFC,20170519,38.75,38.75,38.07,38.07,367140,39.70,39.70,39.00,39.00,0,70000,20000
BFC,20170518,38.07,39.05,37.78,38.75,527350,39.00,40.00,38.70,39.70,0,300000,16390
BFC,20170517,39.24,39.92,38.07,38.56,708910,40.20,40.90,39.00,39.50,0,0,0
BFC,20170516,38.65,39.82,38.16,38.46,852680,39.60,40.80,39.10,39.40,0,233500,100
BFC,20170515,39.00,39.73,38.56,39.14,569240,39.95,40.70,39.50,40.10,0,200770,0
BFC,20170512,37.58,38.65,37.48,38.56,741430,38.50,39.60,38.40,39.50,0,150000,30000
BFC,20170511,36.51,37.82,36.21,37.58,668920,37.40,38.75,37.10,38.50,0,300,0
BFC,20170510,36.70,37.38,36.60,36.75,386270,37.60,38.30,37.50,37.65,0,0,0
BFC,20170509,37.09,37.97,36.60,37.09,964490,38.00,38.90,37.50,38.00,0,1710,1600
BFC,20170508,34.16,36.55,33.67,36.55,1117670,35.00,37.45,34.50,37.45,0,200,50100
BFC,20170505,33.97,34.46,33.68,34.16,154200,34.80,35.30,34.50,35.00,0,0,0
BFC,20170504,34.65,34.85,33.97,33.97,298290,35.50,35.70,34.80,34.80,0,0,8690
BFC,20170503,33.97,34.85,33.68,34.65,262160,34.80,35.70,34.50,35.50,0,0,8300
BFC,20170428,34.02,34.16,33.68,34.02,140290,34.85,35.00,34.50,34.85,0,0,0
BFC,20170427,34.17,34.70,33.68,34.31,263310,35.00,35.55,34.50,35.15,0,0,78310
BFC,20170426,33.38,34.36,33.38,34.02,272140,34.20,35.20,34.20,34.85,0,0,40000
BFC,20170425,33.91,34.11,33.38,33.38,153670,34.75,34.95,34.20,34.20,0,0,0
BFC,20170424,34.36,34.36,33.58,33.67,194090,35.20,35.20,34.40,34.50,0,0,200
BFC,20170421,34.46,34.70,34.31,34.36,184350,35.30,35.55,35.15,35.20,0,0,40000
BFC,20170420,35.29,35.29,34.26,34.26,275200,36.15,36.15,35.10,35.10,0,0,23760
BFC,20170419,33.28,35.52,33.28,35.14,663720,34.10,36.40,34.10,36.00,0,14200,153000
BFC,20170418,33.77,33.77,32.84,33.28,224400,34.60,34.60,33.65,34.10,0,8810,300
BFC,20170417,34.56,34.90,32.70,33.77,395130,35.40,35.75,33.50,34.60,60000,0,90020
BFC,20170414,34.75,35.04,34.26,34.36,499690,35.60,35.90,35.10,35.20,0,0,69980
BFC,20170413,34.84,35.14,34.35,34.60,286730,35.70,36.00,35.20,35.45,0,100,60000
BFC,20170412,34.56,35.43,34.07,34.55,402700,35.40,36.30,34.90,35.40,0,200,39690
BFC,20170411,33.67,34.16,33.67,33.97,170950,34.50,35.00,34.50,34.80,0,0,66330
BFC,20170410,34.07,34.07,33.48,33.67,95340,34.90,34.90,34.30,34.50,0,0,44380
BFC,20170407,33.48,34.07,33.38,34.02,186210,34.30,34.90,34.20,34.85,0,0,36130
BFC,20170405,33.58,34.12,33.43,33.48,153390,34.40,34.95,34.25,34.30,0,0,63870
BFC,20170404,33.67,33.77,33.47,33.58,168690,34.50,34.60,34.30,34.40,0,0,50000
BFC,20170403,33.67,33.96,33.47,33.67,124030,34.50,34.80,34.30,34.50,0,10,40000
BFC,20170331,34.16,34.55,33.67,33.67,203160,35.00,35.40,34.50,34.50,0,10,20000
BFC,20170330,33.82,34.94,33.82,34.16,120310,34.65,35.80,34.65,35.00,0,40,35720
BFC,20170329,33.58,33.97,33.38,33.82,219900,34.40,34.80,34.20,34.65,0,0,33360
BFC,20170328,34.26,34.60,33.38,33.58,437720,35.10,35.45,34.20,34.40,0,10,10920
BFC,20170327,34.26,34.65,33.97,34.26,151150,35.10,35.50,34.80,35.10,0,20,20000
BFC,20170324,34.45,34.94,33.97,34.26,363060,35.30,35.80,34.80,35.10,0,1900,0
BFC,20170323,34.26,35.14,34.26,34.65,275680,35.10,36.00,35.10,35.50,0,0,20000
BFC,20170322,35.72,36.11,34.36,34.36,413290,36.60,37.00,35.20,35.20,0,20,500
BFC,20170321,36.51,36.70,35.63,35.82,350840,37.40,37.60,36.50,36.70,0,4500,44290
BFC,20170320,36.01,36.94,35.82,36.46,453570,36.90,37.85,36.70,37.35,0,1000,137880
BFC,20170317,36.12,36.90,35.63,35.77,376280,37.00,37.80,36.50,36.65,0,40,63370
BFC,20170316,34.61,36.56,34.46,36.02,845990,35.45,37.45,35.30,36.90,0,0,243890
BFC,20170315,34.65,34.85,34.36,34.46,256230,35.50,35.70,35.20,35.30,0,0,36610
BFC,20170314,33.48,34.94,33.48,34.65,536480,34.30,35.80,34.30,35.50,0,5800,118970
BFC,20170313,33.77,33.77,33.43,33.48,75390,34.60,34.60,34.25,34.30,0,90,1750
BFC,20170310,33.77,34.16,33.38,33.77,204320,34.60,35.00,34.20,34.60,0,0,80000
BFC,20170309,33.97,33.97,33.43,33.43,120110,34.80,34.80,34.25,34.25,0,0,34000
BFC,20170308,34.16,34.50,33.97,33.97,263420,35.00,35.35,34.80,34.80,0,0,25970
BFC,20170307,32.41,33.78,32.41,33.77,296470,33.20,34.60,33.20,34.60,0,56300,60000
BFC,20170306,32.70,32.70,32.26,32.41,200280,33.50,33.50,33.05,33.20,0,0,60000
BFC,20170303,32.89,32.89,32.21,32.70,147310,33.70,33.70,33.00,33.50,0,1400,0
BFC,20170302,33.38,33.62,32.70,32.89,71770,34.20,34.45,33.50,33.70,0,0,0
BFC,20170301,33.38,33.77,32.70,33.38,177800,34.20,34.60,33.50,34.20,0,0,60000
BFC,20170228,33.48,33.87,33.38,33.48,88210,34.30,34.70,34.20,34.30,0,0,30000
BFC,20170227,33.38,34.11,33.18,33.38,56970,34.20,34.95,34.00,34.20,0,0,3000
BFC,20170224,33.96,34.26,33.28,33.28,125730,34.80,35.10,34.10,34.10,0,0,15200
BFC,20170223,33.77,33.97,33.28,33.67,185870,34.60,34.80,34.10,34.50,0,0,0
BFC,20170222,34.16,34.31,33.68,33.87,161590,35.00,35.15,34.50,34.70,0,0,10000
BFC,20170221,34.85,35.14,34.26,34.31,174230,35.70,36.00,35.10,35.15,0,0,0
BFC,20170220,34.06,34.94,33.67,34.85,191650,34.90,35.80,34.50,35.70,0,5000,10000
BFC,20170217,33.58,34.26,33.09,34.16,290730,34.40,35.10,33.90,35.00,0,0,0
BFC,20170216,34.65,34.65,33.48,33.58,209370,35.50,35.50,34.30,34.40,0,0,2700
BFC,20170215,34.16,34.65,34.06,34.26,124820,35.00,35.50,34.90,35.10,0,0,0
BFC,20170214,35.14,35.14,34.16,34.26,241460,36.00,36.00,35.00,35.10,0,0,3600
BFC,20170213,34.27,35.44,33.87,34.94,238930,35.10,36.30,34.70,35.80,0,0,20
BFC,20170210,34.17,34.65,33.87,34.07,235620,35.00,35.50,34.70,34.90,0,0,0
BFC,20170209,33.38,34.55,33.38,34.41,280150,34.20,35.40,34.20,35.25,0,100,4000
BFC,20170208,32.99,33.38,32.89,33.38,197990,33.80,34.20,33.70,34.20,0,200,7760
BFC,20170207,32.99,33.23,32.69,32.89,236200,33.80,34.05,33.50,33.70,0,1800,0
BFC,20170206,31.82,33.09,31.82,32.89,400330,32.60,33.90,32.60,33.70,0,0,0
BFC,20170203,30.74,32.21,30.55,31.53,449740,31.50,33.00,31.30,32.30,0,211010,0
BFC,20170202,30.84,31.23,30.45,30.84,40540,31.60,32.00,31.20,31.60,0,0,0
BFC,20170125,31.23,31.43,30.84,30.84,67950,32.00,32.20,31.60,31.60,0,0,0
BFC,20170124,30.26,30.85,29.87,30.84,82150,31.00,31.60,30.60,31.60,0,2000,0
BFC,20170123,30.35,30.99,30.35,30.41,18310,31.10,31.75,31.10,31.15,0,0,0
BFC,20170120,29.58,30.95,29.58,30.84,173740,30.30,31.70,30.30,31.60,1404000,1292730,0
BFC,20170119,29.62,30.06,29.48,29.58,94460,30.35,30.80,30.20,30.30,0,13760,0
BFC,20170118,29.77,30.45,29.57,29.77,133080,30.50,31.20,30.30,30.50,0,6000,0
BFC,20170117,30.55,30.85,29.58,29.77,130980,31.30,31.60,30.30,30.50,0,0,2000
BFC,20170116,31.23,31.67,30.45,30.70,267870,32.00,32.45,31.20,31.45,0,100000,93850
BFC,20170113,31.53,32.21,31.14,31.38,296410,32.30,33.00,31.90,32.15,0,0,3190
BFC,20170112,29.57,31.13,29.57,31.14,406440,30.30,31.90,30.30,31.90,0,0,5000
BFC,20170111,29.78,29.78,29.29,29.28,82500,30.50,30.50,30.00,30.00,0,0,0
BFC,20170110,29.82,29.96,29.47,29.58,29020,30.55,30.70,30.20,30.30,0,0,0
BFC,20170109,29.63,29.97,29.48,29.67,63640,30.35,30.70,30.20,30.40,0,26390,0
BFC,20170106,29.77,30.16,29.67,29.92,155890,30.50,30.90,30.40,30.65,0,19800,0
BFC,20170105,29.19,29.77,28.89,29.67,100930,29.90,30.50,29.60,30.40,0,44620,0
BFC,20170104,28.79,29.13,28.59,29.09,65280,29.50,29.85,29.30,29.80,0,3000,0
BFC,20170103,28.79,28.99,28.69,28.79,76610,29.50,29.70,29.40,29.50,0,0,0
BFC,20161230,28.65,29.19,28.60,28.79,52150,29.35,29.90,29.30,29.50,0,8450,0
BFC,20161229,28.31,28.65,28.31,28.65,35820,29.00,29.35,29.00,29.35,0,14350,0
BFC,20161228,28.99,29.18,28.50,28.60,13660,29.70,29.90,29.20,29.30,0,0,0
BFC,20161227,28.89,28.98,28.20,28.79,154380,29.60,29.70,28.90,29.50,0,0,0
BFC,20161226,29.28,29.28,28.89,29.18,18300,30.00,30.00,29.60,29.90,0,0,0
BFC,20161223,29.77,29.77,28.99,29.28,86380,30.50,30.50,29.70,30.00,0,0,0
BFC,20161222,30.16,30.26,29.87,30.16,23050,30.90,31.00,30.60,30.90,0,0,0
BFC,20161221,30.36,30.85,30.16,30.16,18210,31.10,31.60,30.90,30.90,0,0,0
BFC,20161220,29.09,30.85,28.99,30.36,283920,29.80,31.60,29.70,31.10,0,141320,0
BFC,20161219,28.94,29.38,28.79,29.09,31920,29.65,30.10,29.50,29.80,0,0,0
BFC,20161216,29.38,29.38,28.69,28.94,15160,30.10,30.10,29.40,29.65,0,0,20
BFC,20161215,28.70,29.43,28.70,29.18,29280,29.40,30.15,29.40,29.90,0,0,20
